timestamp,.300BLK_3,.300BLK_4,.300BLK_5,".357 Magnum 9号霰射""鼠弹""",.357 Magnum 9号霰射&#34;鼠弹&#34;,.357 Magnum FMJ,.357 Magnum JHP,.45 ACP AP,.45 ACP FMJ,.45 ACP RIP,.50 AE FMJ,.50 AE JHP,12 Gauge 8.5毫米鹿弹,12 Gauge 箭形弹,12 Gauge 龙息弹,12 Gauge独头 AP-20,12 Gauge独头 FTX,12.7x55mm PD12双头弹,12.7x55mm PS12,12.7x55mm PS12A,12.7x55mm PS12B,4.6x30mm AP SX,4.6x30mm FMJ SX,4.6x30mm Subsonic SX,45-70 Govt FMJ,45-70 Govt FTX,45-70 Govt RN,5.45x39mm BS,5.45x39mm BT,5.45x39mm PS,5.56x45mm M855,5.56x45mm M855A1,5.56x45mm M995,5.7x28mm L191,5.7x28mm R37.F,5.7x28mm SS190,5.7x28mm SS193,5.8x42mm DBP10,5.8x42mm DVC12,5.8x42mm DVP88,6.8x51mm FMJ,6.8x51mm Hybrid,7.62x39mm AP,7.62x39mm BP,7.62x39mm PS,7.62x51mm BPZ,7.62x51mm M62,7.62x51mm M80,7.62x54R BT,7.62x54R LPS,7.62x54R T46M,9x19mm AP6.3,9x19mm PBP,9x19mm RIP,9x39mm BP,9x39mm SP5,9x39mm SP6,玻纤柳叶箭矢,碳纤维刺骨箭矢,碳纤维穿甲箭矢
2026-07-22 00:21,,1617,4968,,,545,839,,,,1325,564,,463,1640,591,519,3067,,624,4783,3832,,387,1213,3415,614,4254,,,,,4537,495,,,,1638,4445,,1664,4884,4821,1541,521,,5567,,5974,1650,502,456,,,4614,364,1601,,,
2026-07-22 00:32,,1687,4968,,,545,859,,,,1325,544,,478,1640,591,519,3067,1942,,4963,3832,,402,1278,3415,614,4254,,,,,4537,510,,4247,,1638,4445,463,1664,4884,4821,1541,521,528,5567,1058,5974,1650,502,456,,,4614,364,1601,,,6084
2026-07-22 00:51,,1652,4968,,,590,899,,,,1325,564,,463,1640,591,519,3067,1942,624,4783,3832,,402,1278,3415,614,4309,,,,,4537,495,,,,1673,4445,463,1664,4979,4896,1576,536,528,5567,1058,5974,1650,482,471,,,4614,344,1601,,1994,6229
2026-07-22 01:02,,1652,4968,,,545,759,,,,1325,564,,463,1680,631,519,3067,1857,624,4963,3887,,402,1278,3415,614,4309,,,,,4537,510,,4312,,1638,4445,463,1664,4979,4896,1576,536,528,5667,1058,5974,1690,482,471,,,4614,364,1601,,,6229
2026-07-22 01:11,,1687,4968,,,590,759,,,,1280,564,,463,1680,631,519,3067,1942,624,4963,3887,,402,1278,3275,614,,,,,,4537,495,,4312,,1673,4445,463,1664,4979,4896,1611,536,528,5667,1058,5974,1690,502,471,,,4679,344,1601,,1994,6229
2026-07-22 01:22,,1652,4968,,,590,,,,,1280,564,,463,1680,631,519,3067,1942,624,4783,3887,,402,1278,3415,584,4309,,,,,4537,510,,4312,,1638,4445,463,1664,4979,4971,1611,536,528,5667,1058,5974,1690,502,471,,,4744,364,1601,,1994,6229
2026-07-22 01:31,,1687,4968,,,545,,1715,,,1235,564,,478,1680,591,519,3067,1942,,4783,3887,,402,1278,3275,584,4364,,,,,4537,510,,4312,,1638,4445,463,1664,4979,4971,1611,536,528,5667,1058,6094,1690,502,471,,,4809,344,1601,,1994,6374
2026-07-22 01:41,,1687,4968,,,545,,,,,1280,564,,493,1680,631,519,3067,1942,624,4783,3887,,387,1278,3275,614,4364,,,,,4537,510,,4312,,1638,4445,463,1664,4979,4971,1611,536,528,5667,1058,6094,1650,502,471,,,4809,364,1601,739,1994,6374
2026-07-22 01:52,,1687,4968,,,590,,1715,,,1325,584,,478,1680,631,519,3067,1942,624,4963,3887,,402,1213,3275,584,4364,,,,,4537,510,,4312,,1638,4445,463,1664,4979,4971,1611,536,528,5667,1058,6094,1690,482,471,,,4809,344,1561,,,6374
2026-07-22 02:01,,1687,4968,,,590,,1715,,,1325,584,,478,1680,631,519,3067,1942,624,4963,3887,,402,1213,3275,584,4364,,,,,4537,510,,4312,,1638,4445,463,1664,4979,4971,1611,536,528,5667,1058,6094,1690,482,471,,,4809,344,1561,,,6374
2026-07-22 02:11,,1722,4968,,,590,,,,,,584,,493,1680,631,519,3067,1942,,4963,3887,,402,1278,3415,614,4364,,,,,4537,510,,4312,,1673,4445,463,1664,4979,4971,1611,536,508,5667,1058,6094,1690,502,471,,,4874,344,1601,739,1994,6374
2026-07-22 02:21,,1722,4968,,,590,,,,,1280,564,,463,1680,631,519,3067,1857,624,4783,3887,,402,1278,,614,4419,,,,,4537,495,,4247,,1673,4445,448,1664,4979,4971,1611,536,508,5667,1058,6094,1690,502,456,,,4874,344,1601,,,6374
2026-07-22 02:31,,1722,5043,,,590,,,,,1280,564,,463,1680,631,519,3067,1942,,,3887,,402,1213,3415,614,4419,,,,,4537,510,,4312,,1673,4445,463,1664,4979,4971,1611,536,508,5667,1058,6094,1650,502,456,,,4874,344,1601,,1994,6374
2026-07-22 02:41,,1722,5043,,,590,,,,,1235,584,,463,1680,631,519,3067,1857,,4963,,,387,1213,3275,584,4419,,,,,4537,510,,4312,,1673,4445,463,1664,4979,4971,1611,536,,5667,,6094,1650,482,456,,,4874,344,1561,,1994,6374
2026-07-22 02:51,,1687,5043,,,545,,1715,,,1235,564,,478,1680,631,519,3067,1857,,,3942,,402,1213,,584,4419,,,,,4537,510,,4312,,1673,4445,463,1664,5074,5046,1611,536,528,5667,1058,6094,1650,,471,,,4874,,1601,,1994,6374
2026-07-22 03:01,,1687,5043,,,545,,1715,,,1235,564,,478,1680,631,519,3067,1857,,4963,3942,,402,1278,3415,614,4419,,,,,4537,510,,4312,,1673,4445,463,1664,5074,5046,1611,536,528,5667,1058,6094,1650,,471,,,4874,364,1601,,1994,6374
2026-07-22 03:11,,1687,5043,,,545,,1750,,,,,,478,1680,631,519,3067,1942,624,,3942,,402,1278,3275,,4364,,,,,4537,495,,4247,,1673,4445,463,1664,5074,5046,1576,536,508,5767,1058,6094,1650,,471,,,4874,344,1561,,1994,
2026-07-22 03:21,,1722,5043,,,545,,1750,,,1325,544,,478,1640,631,519,3067,1942,624,4783,3887,,402,1278,3275,584,4419,,,,,4472,495,,4312,,1638,4445,463,1664,5074,5046,1576,536,508,5767,1058,6094,1650,,471,,,4874,344,1561,,1994,6374
2026-07-22 03:31,,1722,5043,,,545,,1715,,,1280,524,,493,1680,591,519,3067,1942,624,4783,3942,,387,1213,3415,554,4419,,,,,4537,510,,4377,,1638,4445,463,1664,5074,,1611,536,508,5767,1058,6094,1650,482,456,,,4874,364,,739,1994,6374
2026-07-22 03:41,,1722,5043,,,545,,1715,,,1280,524,,493,1640,591,,3067,1857,659,4783,3942,,402,1213,3415,554,4419,,,,,4537,495,,4377,,1638,4445,463,1664,5074,5121,1611,521,,5767,,5974,1650,,471,,,4874,344,1561,,1994,6229
2026-07-22 03:51,,1722,5043,,,545,,1750,,,1235,564,,478,1680,631,519,3067,1857,624,4783,3942,,402,1213,3415,644,4419,,,,,4537,510,,4377,,1638,4445,463,1664,5074,5121,1576,521,508,5767,1058,6094,1650,482,471,,,4874,344,1561,,1994,6229
2026-07-22 04:01,,1722,5043,,,545,,1750,,,1235,564,,478,1680,631,519,3067,1857,624,4783,3942,,402,1213,3415,644,4419,,,,,4537,510,,4377,,1638,4445,463,1664,5074,5121,1576,521,508,5767,1058,6094,1650,482,471,,,4874,344,1561,,1994,6229
2026-07-22 04:11,,1687,5043,,,545,819,1750,,,,,,493,1640,631,519,3067,1857,,4603,3942,,402,1278,3415,,4419,,,,,4602,510,,4312,,1638,4445,463,1664,5074,,1576,521,,5767,1058,6094,1650,502,471,,,4874,344,1561,,1994,6374
2026-07-22 04:21,,1687,4968,,,590,799,1715,,,1235,564,,478,1640,591,519,3067,1857,659,4783,3887,,417,1278,3415,674,4364,,,,,4602,510,,4312,,1638,,463,1664,5074,5121,1576,536,508,5767,1058,6094,1650,482,471,,,4874,344,,,1994,6374
2026-07-22 04:31,,1687,5043,,,590,799,,,,1280,564,,,,591,519,3067,1857,659,,3997,,417,1213,3415,554,4419,,,,,4602,510,,4377,,1638,4445,463,1664,5074,5121,1576,536,508,5767,1058,6094,1610,502,471,,,4874,344,,,1994,
2026-07-22 04:41,,1687,5043,,,545,,,,,1280,564,,478,1680,631,519,3067,1857,624,4783,3942,,402,,3415,,4309,,,,,4602,495,,4247,,1638,4445,448,1619,5074,,1576,521,508,5767,1058,6094,1610,502,456,,,4874,,1601,739,1994,6519
2026-07-22 04:51,,1687,5043,,,545,,,,,,584,,478,1640,591,519,3067,1857,624,4783,3942,,402,1278,3415,584,4419,,,,,4602,495,,,,,4445,463,1619,5074,5121,1541,536,508,5767,1058,6094,1610,502,456,,,4874,344,1561,,1994,6519
2026-07-22 05:01,,1687,5043,,,545,,,,,1370,584,,478,1640,591,519,3067,1857,624,4783,3942,,402,1213,3415,584,4419,,,,,4602,495,,4377,,,4445,463,1619,5074,5121,1541,536,508,5767,1058,6094,1610,502,456,,,4874,344,1561,,1994,6519
2026-07-22 05:11,,1652,4968,,,545,,1715,,,1325,,,478,1680,631,519,3067,,624,4783,3942,,,1213,3415,,4364,,,,,4602,510,,4312,,1638,4445,448,1664,5074,4971,1541,536,508,5767,1058,6094,1650,502,456,,,4874,344,1561,739,,6519
2026-07-22 05:21,,1687,4968,,,545,,1715,,,,564,,478,1680,631,519,3067,1857,,4783,3887,,387,1148,3415,614,4364,,,,,4602,495,,4247,,,4445,463,1619,5074,4971,1576,536,508,5767,1018,6094,,502,456,,,4939,344,1561,,1994,6519
2026-07-22 05:31,,1652,4893,,,545,,,,,1280,544,,463,1680,591,519,3067,1857,624,4603,3832,,402,1148,3415,,4309,,,,,4537,495,,4247,,,4445,463,1664,5074,5046,1576,536,508,5767,1058,5974,1690,502,456,,,4939,344,1561,,,6374
2026-07-22 05:41,,1652,4968,,,590,,,,,1280,584,,463,1680,591,519,3067,1857,624,4783,3887,,387,1278,3415,,4364,,,,,4537,510,,4312,,1638,4445,463,1664,5074,5046,1576,536,508,5767,1018,5974,1610,502,471,,,4874,344,1561,769,,6374
2026-07-22 05:51,,1687,4818,,,590,,1750,,,1235,544,,478,1680,591,519,3067,1857,,4783,3887,,387,1278,3415,,4309,,,,,4602,,,4182,,,4445,448,1664,5074,,1541,536,508,5767,1018,5974,1650,502,471,,,4874,344,1561,,1994,6374
2026-07-22 06:01,,1687,4818,,,545,,1750,,,1235,544,,478,1680,591,519,3067,1857,,4783,3887,,387,1213,3415,674,4309,,,,,4602,,,4182,,,4445,448,1664,5074,5046,1541,536,508,5767,1018,5974,1650,502,471,,,4874,344,1561,,1994,6374
2026-07-22 06:11,,1687,4968,,,545,,,,,1325,524,,493,1640,631,519,2967,,659,4603,3777,,402,1213,3275,614,4199,,,,,4537,510,,4312,,1638,4375,463,1619,4979,4896,1506,536,528,5667,1058,5974,1610,482,471,,,4744,344,1601,,1994,6229
2026-07-22 06:21,,1687,4968,,,500,,1715,,,1325,564,,478,1640,551,519,2967,1857,659,4783,,,387,1278,3275,584,4144,,,,,4407,510,,4377,,,,463,1664,4979,4971,1576,536,528,5667,1058,5974,1610,502,471,,,4744,344,1561,,1994,6084
2026-07-22 06:31,,1722,4893,,,545,,,,,,564,,493,1680,631,519,2967,1942,624,4783,3722,,387,1278,3415,584,4254,,,,,4537,510,,4182,1653,1638,4445,448,1664,4979,4896,1576,536,528,5667,1058,,1610,502,471,,,4744,364,1601,769,,6229
2026-07-22 06:41,,1652,4743,,,545,,1680,,,,564,,493,1640,591,,2967,1942,,4783,3667,,417,1213,3415,674,4254,,,,,4342,510,,4182,1653,1603,,463,1664,4884,4896,1576,536,528,5667,1018,,1610,502,471,,,4679,344,1521,739,,6084
2026-07-22 06:51,,1687,,,,545,,1715,,,,564,,478,1680,631,519,2967,1857,659,4963,,1170,417,1213,3415,614,4199,,,,,4342,510,,4052,1653,1603,,463,1664,4884,4821,1576,536,528,5667,1058,,1650,502,471,,,4614,364,1561,,,6229
2026-07-22 07:01,,1687,,,,545,,1715,,,,564,,478,1680,631,519,2967,1857,659,4963,,1170,417,1213,3415,614,4199,,,,,4342,510,,4052,1653,1603,,463,1664,4884,4821,1576,536,528,5667,1058,,1650,502,471,,,4614,364,1561,,,6229
2026-07-22 07:11,,1687,,,,500,,1715,581,,1370,564,,478,1640,631,519,2967,1942,624,4783,,,417,1213,3275,,4144,,,,,4277,510,,4117,1653,1638,,463,1664,4789,4746,1576,536,528,5567,1058,,1610,502,471,,,4484,,1561,739,,
2026-07-22 07:21,,1687,,,,545,,,581,,1280,564,,493,1640,631,519,2967,1942,659,4603,,1170,402,1278,3275,674,4089,,,,,,510,,,1653,1638,,448,1664,4789,4671,1611,536,528,5467,1058,,1610,502,471,,,,364,1561,709,1924,
2026-07-22 07:31,,1687,,,,500,,1680,581,,1280,564,,493,1640,631,519,2867,1942,624,,,,402,1278,3275,674,4089,,,,,,510,,,1653,1638,,448,1664,4694,4671,1611,536,528,,1058,,1610,502,471,,,,364,1561,709,,
2026-07-22 07:41,,1652,4668,,,590,,,581,,1325,544,,,1680,631,519,2967,1857,,4603,,,417,1278,3415,,4089,,,,,,510,,4052,1653,1603,,,1664,,4671,,536,528,5467,1058,,1610,502,471,,,,,1561,799,,
2026-07-22 07:51,,1687,4668,,,500,,1715,581,,1325,524,,493,1680,631,519,2967,1942,729,4783,,1170,417,1213,3275,674,4034,,,,,,510,,3987,1653,1638,,478,1664,,4671,1611,536,528,5467,1058,,1650,522,471,,,,344,1561,769,,
2026-07-22 08:01,,1687,4668,,,500,,1715,581,,1325,524,,493,1680,631,519,2967,1942,729,4783,,1170,417,1213,3275,674,4034,,,,,,510,,3987,1653,1638,,478,1664,,4671,1611,536,528,5467,1058,,1650,522,471,,,,344,1561,769,,
2026-07-22 08:11,,1687,,,,500,,1680,581,,1325,524,,493,1600,631,519,2967,1942,659,4783,,1170,,1278,3275,584,4089,,,,,,510,,4052,1653,1638,,478,1709,,,1611,,528,5367,1058,,1690,522,471,,,,344,1561,739,,
2026-07-22 08:21,,1687,,,,545,,1715,581,,1325,564,358,508,1680,631,519,2967,1857,624,4783,,1170,417,,3275,,4089,,,,,,510,,,1653,1638,,478,1709,,,1611,551,528,5367,1058,,1690,522,471,,,,364,1601,769,,
2026-07-22 08:31,,1722,,,,590,,1715,581,,1280,544,,508,1640,591,519,2967,1942,659,4783,,1170,417,1278,3275,644,,,,,,,525,,3987,1653,1638,,478,1709,,,1611,551,528,5367,1058,,1690,522,471,,,,344,1601,769,1924,
2026-07-22 08:41,,1722,,,,545,,1750,581,,1325,544,,508,1640,631,519,2967,1942,624,4783,,1170,417,1278,3275,614,,,,,,,525,,4052,1653,1638,,,1709,,,1611,551,528,5367,1058,,1690,522,471,,,,,1601,769,1994,
2026-07-22 08:51,,1722,,,,545,,1750,581,,1370,544,363,508,1640,631,519,2967,1942,,4603,,1170,432,1213,3415,644,4034,,,,,,525,,4052,1653,1673,,478,1709,,,,551,528,,1058,,1690,522,471,,,,364,1601,739,1994,
2026-07-22 09:01,,1722,,,,545,,1750,581,,1370,544,363,508,1680,631,519,2967,1942,659,4603,,1170,432,1278,3415,644,4034,,,,,,525,,4052,1653,1673,,478,1709,,,1611,551,528,,1058,,1690,522,471,,,,364,1601,739,1994,
2026-07-22 09:11,,1722,,,,500,,1715,581,,1370,584,363,508,1680,631,519,2967,1942,729,4783,,1195,432,1278,3275,644,4089,,,,,,525,,4117,1653,1673,,493,1709,,4671,1611,551,528,,1058,,1690,522,486,,,,364,1601,769,1994,
2026-07-22 09:21,,1722,,,,545,,1750,581,,1370,544,368,508,1680,631,519,2967,1942,729,4783,,1195,432,1278,3415,644,4089,,,,,,525,,4052,1653,1673,,493,1709,,,1611,566,528,,1058,,1690,522,486,,,,364,1601,739,1994,
2026-07-22 09:31,,1722,,,,590,,1750,596,,1415,544,368,508,1680,631,519,3067,1942,729,4783,,1195,432,1278,3415,704,4089,,,,,,525,,,1653,1673,,493,1709,,,1646,566,528,,1058,,1690,522,501,,,,,1601,799,1994,5939
2026-07-22 09:41,,1722,,,,500,,1750,596,,1370,544,368,523,1680,631,519,3067,1942,729,4783,,1195,432,1278,3415,674,4089,,,,,,525,,4052,1653,1673,,493,1709,,,1646,566,528,,1058,,1730,522,501,,,,384,1601,799,1994,
2026-07-22 09:51,,1722,,,,545,,1750,596,,1415,584,368,523,1640,631,519,3067,1942,729,4783,,1220,432,1213,3415,704,4089,,534,,,,540,,4117,1683,1673,,493,1709,,,1646,566,528,5467,1058,,1730,522,501,,,,384,1601,799,,
2026-07-22 10:01,,1722,,,,545,,1750,596,,1415,584,368,523,1640,631,519,3067,1942,729,4783,,1220,432,1213,3415,704,4089,,534,,,,540,,4117,1683,1673,,493,1709,,,1646,566,528,5467,1058,,1730,522,501,,,,384,1601,799,,
2026-07-22 10:11,,1722,,,278,545,,1750,596,,,564,373,523,1680,671,519,3067,1942,729,4783,,1220,417,1278,3415,704,,,,,,,540,,4117,1683,1673,,508,1709,,,1646,566,528,,1058,,1730,522,501,,,,384,1601,,1994,
2026-07-22 10:21,,1722,,,278,545,,1750,596,,1415,564,373,523,1680,671,519,3067,1942,729,4603,,1220,447,1278,3415,704,4144,,,,,,540,,4117,1683,1708,,508,1709,,,1681,566,528,5467,1058,,1730,522,501,,,,404,1601,799,1994,
2026-07-22 10:31,,1722,,,278,500,,1750,596,,1415,564,373,523,1680,671,519,3067,1942,729,4963,,1220,447,1343,3415,674,4144,,,,,,540,,4117,1683,1708,,508,1709,,,1681,581,528,5467,1058,,1730,522,516,,,,404,1601,799,1994,
2026-07-22 10:41,,1722,,,278,500,,1750,596,,1415,584,373,523,1680,671,519,3067,1942,729,4783,,1220,447,1278,,704,4144,,,,,,540,,4052,1683,1708,,508,1709,,,1681,581,528,,1058,,1730,522,,,,,404,1601,799,1994,
2026-07-22 10:51,,1722,,,,545,,1750,611,,1415,,378,523,1680,671,519,3067,1942,729,4783,,1245,447,,3275,674,,,549,,,,540,,4117,1683,1708,,508,1709,,,1681,581,528,,1058,,1730,522,516,,,,404,1601,769,1994,
2026-07-22 11:01,,1722,,,,545,,1750,611,,1415,604,378,523,1680,671,519,3067,1942,729,4783,,1245,447,1343,3275,704,,,549,,,,540,,4117,1683,1708,,508,1709,,,1681,581,528,,1058,,1730,522,516,,,,404,1601,769,1994,
2026-07-22 11:06,,1722,,,,545,,1750,611,,1415,604,378,538,1680,671,519,3067,1942,729,4603,,1245,447,1343,3275,674,,,549,,,,540,,4117,1683,1708,,508,1754,,,1681,581,528,,1058,,1730,522,516,,,,404,1601,799,1994,
2026-07-22 11:11,,1722,,,283,545,,1750,611,,1370,584,378,538,1680,671,519,3067,1942,729,4783,,1245,447,1343,3415,674,,,549,,,,540,,,1713,1708,,508,1754,,,1681,581,528,,1058,,1730,522,516,,,,404,1601,799,1994,
2026-07-22 11:16,,1722,,,283,545,,1750,611,,1370,584,378,538,1680,671,519,3067,1942,729,4783,,1245,447,1343,3415,704,,,549,,,,540,,,1713,1708,,508,1754,,,1681,581,528,,1058,,1730,522,516,,,,404,1601,799,1994,
2026-07-22 11:21,,1722,,,283,545,,1750,611,,1370,564,378,538,1680,671,519,3067,2027,729,4603,,1245,447,1343,3275,704,4144,,549,,,,555,,4117,1713,1708,,508,1754,,,1681,581,528,,1058,,1730,522,516,,,,404,1601,799,,
2026-07-22 11:26,,1722,,,283,545,,1750,611,,1370,564,378,538,1680,671,519,3067,2027,729,4603,,1245,447,1278,3275,704,4144,,549,,,,555,,4117,1713,1708,,508,1754,,,1681,581,528,,1058,,1730,522,516,,,,404,1601,799,,
2026-07-22 11:31,,1722,,,,545,,1750,611,,1325,,378,538,1680,671,519,3067,2027,729,4783,,1245,447,1278,3415,704,,,549,541,,,555,,4117,1713,1708,,508,1754,,,1681,581,528,,1058,,1730,522,516,,,,404,1601,799,1994,
2026-07-22 11:36,,1722,,,,545,,1750,611,,1325,604,378,538,1680,671,519,3067,2027,729,4783,,1245,447,1278,3415,674,,,549,541,,,555,,4117,1713,1708,,523,1754,,,1681,581,528,,1058,,1730,522,516,,,,404,1601,799,1994,
2026-07-22 11:41,,1722,,,,500,,1750,611,,1370,604,378,538,1680,671,519,3067,2027,729,4603,,1245,447,1278,3275,674,,,549,541,,,555,,4117,1713,1708,,523,1754,,,1681,596,528,,1058,,1730,522,,,,,404,1601,799,1994,
2026-07-22 11:46,,1722,,,,500,,1750,611,,1370,604,378,538,1680,671,519,3067,2027,729,4603,,1245,462,1343,3275,704,,,549,541,,,555,,4117,1713,1708,,523,1754,,,1681,596,528,,1058,,1730,522,531,,,,404,1601,799,1994,
