timestamp,.300BLK_3,.300BLK_4,.300BLK_5,.357 Magnum 9号霰射&#34;鼠弹&#34;,.357 Magnum FMJ,.357 Magnum JHP,.45 ACP AP,.45 ACP FMJ,.50 AE FMJ,.50 AE JHP,12 Gauge 8.5毫米鹿弹,12 Gauge 箭形弹,12 Gauge 龙息弹,12 Gauge独头 AP-20,12 Gauge独头 FTX,12.7x55mm PD12双头弹,12.7x55mm PS12,12.7x55mm PS12A,12.7x55mm PS12B,4.6x30mm AP SX,4.6x30mm FMJ SX,4.6x30mm Subsonic SX,45-70 Govt FMJ,45-70 Govt FTX,45-70 Govt RN,5.45x39mm BS,5.45x39mm BT,5.56x45mm M855,5.56x45mm M855A1,5.56x45mm M995,5.7x28mm L191,5.7x28mm R37.F,5.7x28mm SS190,5.7x28mm SS193,5.8x42mm DBP10,5.8x42mm DVC12,5.8x42mm DVP88,6.8x51mm FMJ,6.8x51mm Hybrid,7.62x39mm AP,7.62x39mm BP,7.62x39mm PS,7.62x51mm BPZ,7.62x51mm M62,7.62x51mm M80,7.62x54R BT,7.62x54R LPS,7.62x54R T46M,9x19mm AP6.3,9x19mm PBP,9x19mm RIP,9x39mm BP,9x39mm SP5,9x39mm SP6,玻纤柳叶箭矢,碳纤维刺骨箭矢,碳纤维穿甲箭矢
2026-07-24 00:01,632,1792,4968,303,,659,1785,641,,544,373,508,1680,,,3067,1857,,,3887,1270,,1278,3275,614,4309,1791,571,1791,,510,687,4312,1803,1708,,463,1709,4884,4896,1751,611,528,5667,1098,5974,1730,,471,1786,788,4549,404,1601,,1994,
2026-07-24 00:02,,1757,4893,298,,639,,626,,544,363,,1680,,519,,1857,624,4783,,1220,,,3275,,4309,1791,571,1761,4537,,687,,1773,1673,,463,1709,4884,4896,1681,581,548,5667,1098,5974,1730,,471,1756,778,4549,404,1601,739,,
2026-07-24 00:11,,,4968,,545,639,1785,,,544,,493,1720,631,519,,1857,624,4783,,,,1213,3275,,4309,,,,4537,495,,,,1673,,478,1709,4884,4896,1681,,,5667,1098,5974,,,486,,,4549,404,1601,,,6084
2026-07-24 00:21,,,4968,,545,699,1785,,1280,,,478,1720,631,519,3067,1857,624,4783,3887,,402,1213,3275,644,4309,,,,4537,510,,4312,,,4445,,1709,4884,4896,,,548,5667,1098,,,,486,,,4549,,1601,,1924,6084
2026-07-24 00:31,,,4968,,545,679,1785,,1325,544,,478,1720,631,519,3067,1857,624,4783,3887,,402,,3275,584,4309,,,,4537,510,,4312,,1673,4445,478,1709,4884,4896,,,,5667,1098,6094,1730,482,486,,,4614,404,1641,,1924,6229
2026-07-24 00:41,,1757,4968,,545,699,1785,,1280,544,,478,1720,631,519,3067,1857,,4783,3887,,402,1278,3275,,4364,,,,4537,510,,4377,,1673,4445,478,1709,4884,4896,,,568,5667,1098,6094,1730,,486,,,4614,404,1641,,1994,6374
2026-07-24 00:51,,1757,4968,,545,719,1785,,,564,,493,1720,,519,3067,1857,624,4783,3887,,402,1278,3275,614,4364,,,,4602,510,,4377,,1673,4445,463,1709,,,,,548,5667,1098,6094,1730,,486,,,4614,404,1641,,1924,6374
2026-07-24 01:01,,1757,4968,,545,679,1785,,1325,564,,493,1720,,519,3067,1857,624,4783,3887,,417,1278,3275,614,4364,,,,4602,510,,4442,,1673,4445,463,1709,4979,4971,,,548,5667,1098,6094,1730,,486,,,4614,404,1641,,1924,6519
2026-07-24 01:11,,,4968,,590,699,1785,,,544,,,1720,631,519,3067,1857,624,4783,3887,,417,1278,3275,614,4364,,,,,495,,4442,,1673,4445,478,1709,4979,4971,,,548,5667,1098,6094,1730,482,486,,,4679,404,1641,,1994,6519
2026-07-24 01:21,,1722,4968,,590,699,1750,,1325,544,,478,1680,631,519,3067,1857,624,4783,3887,,417,1278,3275,614,4419,,,,4732,510,,4442,,1673,4445,478,1709,4979,4971,1646,566,548,5667,1098,6094,1730,482,486,,,4809,,1641,,1994,6519
2026-07-24 01:31,,1757,4968,,590,719,1750,,,544,,478,1720,631,519,3067,,624,4783,3887,,417,1278,3275,614,4419,,,,4732,510,,4442,,1673,4445,463,1709,4979,4971,1646,,548,5667,,6094,1730,,486,,,4809,404,1641,,1994,6519
2026-07-24 01:41,,1722,4968,,545,679,1750,,1280,544,,493,1720,631,519,3067,1857,,4783,3887,,,1278,3275,584,4419,,,,,510,,4442,,1673,4445,478,1709,4979,4971,1646,,548,5667,,6094,1730,482,486,,,4809,404,1641,,1994,6519
2026-07-24 01:51,,1722,4968,,545,679,1750,,1280,564,,478,1720,,519,3067,1942,624,4783,3887,,402,1278,3275,,4419,,,,4732,510,,4442,,1708,4445,463,1709,4979,4971,,,548,5667,,6094,1730,,486,,,4809,404,1641,739,1924,6519
2026-07-24 02:01,,1722,4968,,545,719,1750,,1280,564,,478,1720,,519,3067,1942,624,4783,3887,,402,1278,3275,644,4419,,,,4797,510,,4442,,1708,4445,463,1709,4979,4971,,,548,5667,,6094,1730,,486,,,4874,404,1641,739,1994,6519
2026-07-24 02:11,,1722,4968,,545,699,1750,,1280,,,493,1720,,519,3067,1857,624,4783,3942,,,1278,3275,614,4419,,,,4797,510,,4442,,1708,4515,463,1709,4979,5046,,,548,5667,1098,6094,1730,482,486,,,4874,404,1641,,1994,6664
2026-07-24 02:21,,,4968,,545,699,1750,,,564,,493,1760,,519,3067,1942,624,4783,3942,1195,402,1278,3275,584,4419,,,,4797,510,,4377,,1708,4445,478,1709,4979,5046,,,548,5667,1098,6094,1730,482,486,,,4939,,1641,,1994,6664
2026-07-24 02:31,,,4968,,590,659,1750,,1235,544,,493,1760,,519,3067,1942,624,4783,3942,1195,402,1278,3275,,4419,,,,4797,510,,4377,,1708,4445,463,1709,4979,5046,,,548,5667,1098,6094,1730,482,486,,,4939,404,1641,,1924,6664
2026-07-24 02:41,,,4968,,,659,1750,,1235,544,,,1760,,519,3067,,624,4783,3942,1195,417,1278,3275,644,4419,,,,4797,510,,4442,,1708,4515,463,1709,4979,5046,,,548,5667,1098,6094,1730,482,486,,,4939,404,1641,,1924,6664
2026-07-24 02:51,,,4968,,545,679,1750,,1235,684,,493,1760,631,519,3067,1942,624,4783,3942,,402,1278,3275,584,4419,,,,4797,495,,4442,,1708,4515,463,1709,4979,5046,,,548,5667,,6094,1730,,486,,,4939,404,1641,,1924,6664
2026-07-24 03:01,,,4968,,545,679,1750,,1235,684,,493,1760,631,519,3067,1942,624,4783,3942,,402,1278,3275,584,4419,,,,4797,495,,4442,,1708,4515,463,1709,4979,5046,,,548,5667,,6094,1730,,486,,,4939,404,1641,,1924,6664
2026-07-24 03:11,,1722,4968,,545,,1750,,,724,,478,1760,,519,3067,1857,624,4963,3942,,402,1278,,644,4474,,,,4797,510,,4442,,1708,4515,478,,4979,5046,,,548,5667,1098,6094,1730,482,486,,,4939,404,1641,,1854,6664
2026-07-24 03:21,,1722,4968,,590,719,1750,,1280,724,,478,1800,631,519,3067,1942,624,,3942,,417,1278,3275,584,4474,,,,4797,495,,4442,,1708,4515,478,1754,5074,5046,,,548,5767,,6094,1730,,486,,,4874,,1641,,,6519
2026-07-24 03:31,,1722,4893,,545,679,,,,704,,478,1800,631,519,,1857,,4783,3942,,417,1278,3275,584,4474,,,,4797,510,,4442,,1708,4515,478,1709,5074,5046,,,548,5767,,6094,1730,482,486,,,4874,404,1641,,1994,6519
2026-07-24 03:41,,1722,4968,,545,,1750,,1280,684,,478,1800,631,519,3067,1857,,4603,3942,1170,417,1213,3275,614,4474,,,,4797,495,,4377,,1708,4515,478,1709,5074,5046,,,548,5767,1058,6094,1730,482,486,,,4939,,1641,,1994,6519
2026-07-24 03:51,,1687,4968,288,590,679,1750,,1325,644,,493,1800,631,519,3067,1857,624,4783,3942,,402,1278,,644,4529,,,,4797,510,,4442,,1708,4515,478,1754,5074,5046,,,548,5767,1058,6094,1730,,486,,,4939,404,1641,,1924,6664
