timestamp,.300BLK_3,.300BLK_4,.300BLK_5,.357 Magnum 9号霰射&#34;鼠弹&#34;,.357 Magnum FMJ,.357 Magnum JHP,.45 ACP AP,.45 ACP FMJ,.45 ACP RIP,.50 AE FMJ,.50 AE JHP,12 Gauge 8.5毫米鹿弹,12 Gauge 箭形弹,12 Gauge 龙息弹,12 Gauge独头 AP-20,12 Gauge独头 FTX,12.7x55mm PD12双头弹,12.7x55mm PS12,12.7x55mm PS12A,12.7x55mm PS12B,4.6x30mm AP SX,4.6x30mm FMJ SX,4.6x30mm Subsonic SX,45-70 Govt FMJ,45-70 Govt FTX,45-70 Govt RN,5.45x39mm BS,5.45x39mm BT,5.45x39mm PS,5.56x45mm M855,5.56x45mm M995,5.7x28mm L191,5.7x28mm R37.F,5.7x28mm SS190,5.7x28mm SS193,5.8x42mm DBP10,5.8x42mm DVC12,5.8x42mm DVP88,6.8x51mm FMJ,6.8x51mm Hybrid,7.62x39mm AP,7.62x39mm BP,7.62x39mm PS,7.62x51mm BPZ,7.62x51mm M62,7.62x51mm M80,7.62x54R BT,7.62x54R LPS,7.62x54R T46M,9x19mm AP6.3,9x19mm PBP,9x19mm RIP,9x39mm BP,9x39mm SP5,9x39mm SP6,玻纤柳叶箭矢,碳纤维刺骨箭矢,碳纤维穿甲箭矢
2026-08-04 00:01,587,,4818,288,545,359,1610,551,740,1055,604,363,478,,,519,,2282,764,4963,4052,1395,,1148,3135,494,4694,,,,,,,4507,,,,,,4979,4971,1681,551,528,6067,1138,5854,,,,1486,758,4809,,,,1994,5794
2026-08-04 00:11,,1687,4818,,,359,,566,,1100,,,493,1800,471,519,3267,2282,764,4963,4052,,,1148,3135,494,4749,,,511,4797,495,,4637,,1743,,493,1709,4979,4971,1611,551,,6067,,5854,1730,542,,1486,,4809,,1721,679,,5794
2026-08-04 00:21,,1687,4818,,,379,1680,551,,1100,664,,478,1800,471,519,3267,2282,764,4963,4052,,,1148,3135,524,4749,,,,4797,495,,4637,,1743,4725,478,1754,5074,4971,1611,551,528,6067,1138,5854,1730,562,426,,,4809,464,1721,,1994,5794
2026-08-04 00:31,,,4818,,,379,1645,566,,1100,,,478,1800,471,519,3267,2282,764,,4107,,,1148,3135,,4749,,519,511,4797,495,,4702,,,4725,493,1754,5074,4971,1646,536,528,6067,1138,5854,1730,562,426,1486,,4874,484,1721,679,1994,5939
2026-08-04 00:34,,,4818,,,379,1645,566,,1100,,,478,1800,471,519,3267,2282,764,,4107,,,1148,3135,,4749,,519,511,4797,495,,4702,,,4725,493,1754,5074,4971,1646,536,528,6067,1138,5854,1730,562,426,1486,,4874,484,1721,679,1994,5939
2026-08-04 00:41,,1652,4818,,,379,,,,1055,624,,478,1800,471,519,,2282,764,4963,4107,,,1148,3135,,4749,,,,4862,495,,4702,,1743,4655,493,1754,5074,4971,1611,536,528,6067,1138,5854,1730,562,426,,,4874,464,1681,,1994,5939
2026-08-04 00:51,557,1652,4818,,,339,1680,566,,,,,,1800,471,,3267,2282,764,4963,4107,,,1148,3135,494,4749,,504,,4862,,,4702,,1743,4725,493,1754,5074,4971,1611,536,528,6067,1138,5854,1730,542,426,,,4874,,1681,,1994,5939
2026-08-04 01:01,,1687,4818,,,339,1680,566,,1100,644,,478,1800,471,519,3267,2282,764,4963,4107,,,1148,3135,494,4749,,504,,4862,,,4702,,1743,4725,493,1754,5074,4971,1611,536,528,6067,1138,5854,1730,542,426,,,4874,,1681,,1994,5939
2026-08-04 01:11,,1652,4893,,,379,1680,551,,1145,,,478,1800,511,519,3267,2282,764,4963,4162,1370,,1148,3135,494,4749,,,,4862,495,,4702,,1743,4725,493,1709,5074,5046,1611,551,548,6067,1138,5854,1730,562,426,,,4939,464,1681,,1924,5939
2026-08-04 01:21,,1687,4893,,,339,1680,551,,1145,,,478,1800,471,519,3267,2282,764,4963,4162,,,1148,3135,524,4749,,,,4862,495,,4637,,1743,4725,493,1709,5074,5046,1646,551,528,6067,1138,5854,1730,562,426,,,4939,464,1681,709,1994,5939
2026-08-04 01:31,,,4893,,545,,1680,566,,1145,624,,,1800,471,519,3267,2282,764,5143,4162,,,,3135,524,4804,,,,4862,495,,,,,4725,493,1754,5169,5046,1646,551,528,6067,1138,5854,1730,562,426,1486,,4939,,1681,679,1994,
2026-08-04 01:41,,,4893,,,339,1680,566,,1100,624,,478,1800,471,519,3267,,,4963,4162,,,1148,3135,494,4804,,,,4862,495,,4702,,1743,4725,493,1754,5169,5046,1646,551,528,6067,1138,5854,1730,562,426,,,4939,464,1721,709,1994,6084
2026-08-04 01:51,,1652,4893,,,,1680,566,,1055,,,,1800,471,519,3267,2282,,4963,4162,,,1148,3135,494,4804,,519,,4862,,,4637,,1743,4725,493,1754,5169,5046,1646,551,528,6067,1138,5854,1730,,426,,,,,1721,679,1994,6084
2026-08-04 02:01,,1687,4893,,,339,1680,566,,1055,,,478,1800,511,519,3267,2282,764,4963,4162,,,1148,3135,494,,,519,,4862,,,4637,,1743,4725,493,,5264,5046,1646,551,528,6067,1138,5854,1690,562,426,1486,,5004,464,1681,,1924,6084
2026-08-04 02:11,,1687,4893,,,339,1680,566,,1055,,,478,1800,471,519,3267,2282,764,4963,4217,,,1148,3135,494,4804,,519,,4862,,,4637,,1743,4725,493,1754,5264,5046,1646,551,548,6067,1138,5854,1690,562,426,1486,,5004,464,1681,,1924,6084
2026-08-04 02:21,,1722,4893,,,359,1680,566,,1055,,,478,,511,519,3267,,,4963,4217,,,1148,3135,494,4804,,519,511,4862,495,,,,1743,4725,493,1709,5359,5046,1646,551,528,6067,1138,5854,1730,562,426,1456,,5004,484,1681,,1994,6084
2026-08-04 02:31,,1722,4893,,,359,1680,566,,1100,,,478,1800,511,519,3267,2282,764,4963,4217,,,,3135,494,4804,,,511,4862,495,,4702,,1743,4725,,1754,5359,5046,1646,551,528,6067,1138,5854,1730,562,426,,,5004,,1681,679,1994,5939
2026-08-04 02:41,,1722,4893,,,359,1680,566,,,,,478,1800,511,519,3267,2282,764,5143,4217,,,1148,3135,494,4804,,519,511,4862,495,,4702,,1743,4725,508,1709,5359,5046,1646,551,528,6067,1098,5854,1730,562,411,1486,,5004,464,1681,679,1994,6084
2026-08-04 02:51,,1722,4893,,,,1715,566,,,624,,478,1800,471,519,3167,2282,764,4963,4217,,,1148,3135,524,4804,,519,511,4862,,,4702,,1743,4725,508,1709,5454,5046,1646,551,528,6067,1098,5854,1730,562,426,,,5004,484,1681,679,1994,6084
2026-08-04 03:01,,1722,4893,,,359,1715,,,1055,644,,478,1800,471,519,3267,2282,764,4963,4217,,,1148,3135,524,4804,,519,511,4862,,,4637,,1743,4725,508,1709,5454,5046,1646,,528,6067,1138,5854,1730,562,411,,,5004,484,1681,679,1924,6084
2026-08-04 03:11,,1722,4893,,,359,1715,566,,1055,644,,478,1800,471,519,3267,2282,764,4963,4217,,,1148,3135,524,4804,,519,511,4862,,,4637,,1743,4725,508,1709,5454,5046,1646,551,528,6067,1138,5854,1730,562,411,,,5004,484,1681,679,1924,6084
2026-08-04 03:21,,1687,4893,,545,,1715,566,,1055,,,478,1800,471,519,3267,2282,799,4963,4217,,,1148,3135,494,4804,,519,,4797,,,4637,,1743,4725,493,1754,5454,5046,1646,551,528,6067,1138,5854,1730,562,411,,,5069,464,1681,679,1994,6084
2026-08-04 03:31,,1722,4893,,545,,1680,566,,1100,,,478,,471,519,3267,2282,799,4963,4217,,,1148,3135,,4804,,519,,4862,,,4702,,1708,4725,508,1709,5454,5046,1646,551,528,6067,1138,5854,1690,562,411,,,5069,484,1681,679,1924,6084
2026-08-04 03:41,,1687,4893,,,,1680,551,,1055,644,,478,1800,471,519,3267,2282,,4963,4217,,,1148,3135,524,4804,,519,,4862,495,,4702,,1743,4725,493,1709,5454,5046,1646,536,528,6067,1138,5854,,542,411,1486,,5069,464,1681,,1994,5939
2026-08-04 03:51,,1722,4893,,545,359,1680,566,,,624,,,1800,471,,3267,2282,799,4963,4217,,,1148,3135,,4804,,519,511,4862,495,,4637,,1743,4725,508,1754,5454,5046,1646,551,528,6067,1138,5854,1690,562,426,1486,,5134,484,,679,1924,6084
2026-08-04 04:01,,1652,4893,,545,359,,566,,1055,,,,1760,471,,3267,2282,,4963,4217,,,,3135,494,4804,,504,511,4862,495,,4637,,1743,4725,493,1709,5454,5046,1646,551,528,6067,1098,5854,1730,562,411,1486,,5134,464,1681,679,1994,6084
2026-08-04 04:11,,1652,4893,,545,359,1715,566,,1055,664,,,1760,471,,3267,2282,,4963,4217,,,,3135,494,4804,,504,,4862,495,,4637,,1743,4725,493,1709,5359,5046,1611,551,528,6067,1098,5854,1690,562,411,1486,,5134,464,1681,,1994,6084
2026-08-04 04:21,,1722,4893,,,359,1715,566,,1055,,,478,1760,511,519,3267,2282,764,4963,4217,,,,3135,494,4804,,519,,4862,495,,4637,,1708,4655,508,1664,5454,5046,1611,551,508,6067,1098,5854,1690,562,411,,,5069,464,1641,709,1994,6084
2026-08-04 04:31,,1687,4818,,545,379,1715,566,,1100,,,478,,511,519,3167,2282,799,4963,4217,,,,3275,494,4804,,519,,4862,495,,4637,,1708,4655,508,1709,5454,5046,,551,528,6067,1098,5854,1730,542,426,1456,,5069,464,1681,679,1924,6084
2026-08-04 04:41,,1722,4893,,545,379,1715,566,,1055,,,463,1800,471,,3167,,764,4963,4217,,,,3135,,4804,,519,496,4797,495,,4572,,1708,4725,493,1709,5454,5046,1611,551,528,6067,1098,5854,1690,542,411,1456,,5069,464,1641,679,1994,6084
