timestamp,.300BLK_3,.300BLK_4,.300BLK_5,.357 Magnum 9号霰射&#34;鼠弹&#34;,.357 Magnum FMJ,.357 Magnum JHP,.45 ACP AP,.45 ACP FMJ,.45 ACP RIP,.50 AE FMJ,.50 AE JHP,12 Gauge 8.5毫米鹿弹,12 Gauge 箭形弹,12 Gauge 龙息弹,12 Gauge独头 AP-20,12 Gauge独头 FTX,12.7x55mm PD12双头弹,12.7x55mm PS12,12.7x55mm PS12A,12.7x55mm PS12B,4.6x30mm AP SX,4.6x30mm FMJ SX,4.6x30mm Subsonic SX,45-70 Govt FMJ,45-70 Govt FTX,45-70 Govt RN,5.45x39mm BS,5.45x39mm BT,5.45x39mm PS,5.56x45mm M855,5.56x45mm M855A1,5.56x45mm M995,5.7x28mm L191,5.7x28mm R37.F,5.7x28mm SS190,5.7x28mm SS193,5.8x42mm DBP10,5.8x42mm DVC12,5.8x42mm DVP88,6.8x51mm FMJ,6.8x51mm Hybrid,7.62x39mm AP,7.62x39mm BP,7.62x39mm PS,7.62x51mm BPZ,7.62x51mm M62,7.62x51mm M80,7.62x54R BT,7.62x54R LPS,7.62x54R T46M,9x19mm AP6.3,9x19mm PBP,9x19mm RIP,9x39mm BP,9x39mm SP5,9x39mm SP6,玻纤柳叶箭矢,碳纤维刺骨箭矢,碳纤维穿甲箭矢
2026-08-10 00:01,617,1897,4668,283,545,,1890,641,785,1145,,383,,,511,519,,,799,4783,,,,,3555,644,,,,556,1881,,570,657,,1833,,4865,568,1889,5074,,1646,596,,5967,1138,,1890,582,426,1666,758,4679,544,,769,,6374
2026-08-10 00:11,,,4593,,,,1820,,,1145,564,,448,,511,519,3467,2537,799,4783,3887,,447,,3415,,4419,,504,,,4537,,,4377,,1848,4795,,1889,4979,4671,1646,551,568,5867,1138,5614,,562,426,,,4614,564,1721,,1994,6519
2026-08-10 00:21,,,4668,,545,399,1855,,,1100,544,,448,,511,519,3467,2537,,4783,,,,1213,,674,4419,1691,489,,,4537,,,4377,,1813,4795,,1844,5074,4746,1681,551,568,5867,1138,5614,1850,582,426,,,4614,564,,,1994,
2026-08-10 00:31,,,4743,,,419,1890,,,1145,544,,463,,511,519,3467,2537,799,4963,3887,,447,1278,,674,4419,,489,,,4537,,,4377,1773,1848,4865,,1889,5074,4746,1681,,568,5967,1138,5614,1850,582,426,,,4679,544,1761,,1994,6519
2026-08-10 00:41,,,4743,,545,419,1855,,,1100,,,463,,511,519,3467,2537,799,4783,3887,,447,1278,3555,644,4419,,504,,,4602,,,,,1848,4865,,1889,5074,4746,1681,551,568,5967,1138,5614,1850,582,426,,,4679,544,1721,,1994,6519
2026-08-10 00:51,,,4743,,545,439,1855,,,,564,,463,1800,511,519,3467,2537,799,4783,3887,,,1278,3555,,4419,,504,,,4667,,,4507,1803,1848,4935,,1889,5074,4746,1681,551,568,5967,1138,5614,1890,582,426,,,4679,,1721,769,1924,6374
2026-08-10 01:01,,,4743,,545,419,,,,1145,544,,463,1800,511,519,3467,2537,799,4783,3887,,,1278,3555,644,4419,,504,,,4667,,,4507,1803,1848,4935,,1889,5074,4746,1681,,568,5967,1138,5614,1850,582,426,,,4679,544,1761,,1994,6664
2026-08-10 01:11,,,4743,,,419,,,,1145,564,,463,1800,511,519,3467,2537,799,,3887,,,1278,3555,,4419,,489,,,4667,,,4442,1803,1848,4935,,1889,5074,4746,1646,551,568,5967,1138,5614,1850,562,426,,,4679,564,1761,739,1994,6664
2026-08-10 01:21,,,4743,,545,419,,,,1145,,,463,1800,511,519,3467,2537,799,4783,3887,,447,1278,3555,,4419,1691,489,,,4667,,,4442,1773,1813,4935,,1889,5074,4746,,551,568,5967,1138,5614,1890,562,426,,,4679,544,1761,,1994,6664
2026-08-10 01:31,,,4743,,545,399,,,,1145,524,,478,1800,511,519,3567,2537,,4783,3887,,447,1278,3555,674,,,489,,,4667,,,4572,,1813,4935,,1889,,4746,1681,551,568,5967,1138,5614,1890,562,426,,,4679,544,1761,769,1924,
2026-08-10 01:41,,,4743,,545,399,,,,1145,524,,,1800,511,519,3567,2537,,4783,3942,,447,1278,3555,674,4474,,489,,,4667,,,4572,,1813,4935,,1889,5169,4746,1681,551,568,5967,1138,5614,1890,562,426,,,,,1761,769,1994,6809
2026-08-10 01:51,,,4743,,590,399,,,,1055,564,,433,,511,519,3567,2537,799,4783,3942,,,1278,3555,704,4529,,504,,,4667,,,4572,,1848,4935,,1934,5169,4746,1681,551,568,5967,1138,5614,1890,562,426,,,4744,544,1801,739,1994,6809
2026-08-10 02:01,,,4743,,590,399,,,,1100,564,,433,1800,511,519,3567,2537,,4963,,,,1278,3555,704,4529,,504,,,4667,,,4572,1773,1848,4935,,1934,5169,4821,1681,551,568,5967,1138,5614,1890,562,426,,,4744,544,1801,769,1994,6809
2026-08-10 02:02,,,4743,,590,399,,,,1100,564,,433,1800,511,519,3567,2537,,4963,3997,,,1213,3555,704,4529,,504,,,4667,,,4572,1773,1848,4935,,1934,5169,4821,1681,551,568,5967,1138,5614,1890,562,426,,,4744,544,1801,769,1994,6809
2026-08-10 02:11,,,4743,,590,399,,,,1100,564,,433,1800,511,519,3567,2537,,4963,3997,,,1213,3555,704,4529,,504,,,4667,,,4572,1773,1848,4935,,1934,5169,4821,1681,551,568,5967,1138,5614,1890,562,426,,,4744,544,1801,769,1994,6809
2026-08-10 02:21,,,4743,,590,399,1820,,,,564,,418,1800,511,519,3567,,799,4783,3997,,,1148,3555,,4529,,504,,,4667,,,4572,,1848,4935,,1934,,4821,1681,551,568,5967,1138,5614,1890,562,426,,,4744,544,1801,,1994,6664
2026-08-10 02:31,,,4743,,545,419,1820,,,1100,564,,448,1800,511,519,3567,2452,,4963,3997,,,1278,3555,644,4529,1666,504,,,4667,,,4507,,1848,4935,,1934,5264,4821,1681,551,568,5967,1138,5614,1890,562,426,,,4744,564,1801,739,1994,6954
2026-08-10 02:41,,,,,545,419,,,,1100,564,,418,1800,511,519,3567,2452,799,4783,3997,,,1278,3555,644,4584,1666,504,,,4667,,,4572,,1813,4935,,1889,5264,4821,1681,551,568,5967,1138,5614,1890,562,426,,,4744,544,1801,,1994,6954
2026-08-10 02:42,,,4818,,545,419,,,,1100,564,,418,1800,511,519,3567,2452,799,4783,3997,,,1213,3555,704,4584,1666,504,,,4667,,,4572,,1813,4935,,1889,5264,4821,1681,551,568,5967,1138,5614,1890,562,426,,,4744,544,1801,,1994,6954
2026-08-10 02:51,,,4818,,,419,,,,1145,564,,433,1800,511,519,3567,2537,799,4783,3997,,,1278,3555,614,4584,1666,504,,,,,,4572,,1848,4935,,1889,5264,4821,1681,551,568,5967,1138,5614,1890,562,426,,,4809,544,1761,739,1994,6954
2026-08-10 03:01,,,4818,,,419,,,,1100,544,,,1800,511,519,3567,2367,764,4783,3997,,,1278,3555,,4584,,504,,,4732,,,4637,,1848,4935,,1889,5264,4896,1681,551,568,5967,1138,5614,1890,,426,,,4809,564,1801,739,1994,6954
2026-08-10 03:11,,,4818,,545,,1820,,,1055,,,433,1800,511,519,3567,2537,799,4783,3997,,,1278,3555,704,4584,,504,,,4732,,,4637,,1848,4935,,1889,5264,4896,1681,551,548,5967,1138,5614,1890,,426,,,4809,564,1801,739,1994,6809
2026-08-10 03:21,,,4818,,545,419,,,,1145,564,,433,1800,511,519,3567,2452,799,4963,3997,,,1278,3415,674,4584,1666,504,,,4732,,,4572,,1848,4865,,1889,5264,4896,1681,551,568,6067,1138,5614,1890,562,426,,,4809,564,1761,739,1994,6809
2026-08-10 03:31,,,4818,,590,419,,,,1100,524,,433,1800,511,499,3567,2452,799,4783,3997,,,1213,3555,674,4584,,504,,,4732,,,4702,,1848,4935,,1934,5264,4896,1681,551,568,6067,1138,5614,1890,562,426,,,4809,564,1721,769,1994,6809
2026-08-10 03:41,,,4743,,590,419,1820,,,,,,448,,511,519,3567,2537,,,3997,,,1213,3555,704,4584,1666,504,,,4732,,,4702,,1848,4935,,1889,5264,4896,1681,551,568,6067,1138,5614,1890,,411,,,4809,544,1761,739,1994,6809
