timestamp,.300BLK_4,.300BLK_5,.357 Magnum FMJ,.357 Magnum JHP,.45 ACP AP,.45 ACP FMJ,.45 ACP RIP,.50 AE FMJ,.50 AE JHP,12 Gauge 箭形弹,12 Gauge 龙息弹,12 Gauge独头 AP-20,12 Gauge独头 FTX,12.7x55mm PD12双头弹,12.7x55mm PS12,12.7x55mm PS12A,12.7x55mm PS12B,4.6x30mm AP SX,4.6x30mm FMJ SX,4.6x30mm Subsonic SX,45-70 Govt FMJ,45-70 Govt FTX,45-70 Govt RN,5.45x39mm BS,5.45x39mm BT,5.45x39mm PS,5.56x45mm M995,5.7x28mm L191,5.7x28mm R37.F,5.7x28mm SS190,5.8x42mm DBP10,5.8x42mm DVC12,5.8x42mm DVP88,6.8x51mm FMJ,6.8x51mm Hybrid,7.62x39mm AP,7.62x39mm BP,7.62x39mm PS,7.62x51mm BPZ,7.62x51mm M62,7.62x51mm M80,7.62x54R BT,7.62x54R LPS,7.62x54R T46M,9x19mm AP6.3,9x19mm RIP,9x39mm BP,9x39mm SP5,9x39mm SP6,玻纤柳叶箭矢,碳纤维刺骨箭矢,碳纤维穿甲箭矢
2026-08-11 00:01,1897,4818,545,419,1890,,785,1100,544,433,1840,511,519,3267,2452,,,3942,1495,,1213,3555,,4474,1866,,4667,,647,4377,,4865,,,5169,4746,1646,,568,5967,1138,5614,,,,758,4679,,,,1924,6809
2026-08-11 00:11,,4743,,419,,551,,,544,433,,511,519,3267,2452,764,,3887,1420,,1213,3555,,4419,1866,489,4667,,,4377,1743,4865,,1799,,,1646,536,568,,1138,5614,1810,562,,,4614,,,,1994,6809
2026-08-11 00:21,,4668,545,419,,551,,1190,544,,,511,519,3267,2452,764,4783,3887,,447,,3695,614,4474,,,4667,495,,,1743,4865,493,1799,,4746,1646,,568,5967,1138,5614,1810,562,411,,4614,,1681,,,
2026-08-11 00:31,,4743,,,,551,,1190,544,463,,511,519,3267,2452,764,4783,3942,,447,1213,3695,,4474,,489,4667,480,,,1778,4865,478,,5169,4821,1681,536,568,5967,1138,5614,1810,562,411,,,524,1721,679,1994,
2026-08-11 00:41,,4743,,,,566,,1145,564,463,,511,519,3267,2452,764,4783,3942,,447,1278,3695,614,4474,,489,4667,480,,4507,1778,4935,478,1844,5169,4821,1681,536,,5967,1138,,1810,562,411,,4679,524,1681,679,1994,6809
2026-08-11 00:51,,4818,545,419,,551,,1145,564,448,,,519,3367,2452,764,4963,3942,,432,1278,3695,644,4474,,504,4667,480,,4507,1778,4935,478,,5169,4821,1681,551,568,5967,1138,5734,1810,,411,,4679,,1721,,1994,6809
2026-08-11 01:01,,4818,590,,,551,,1145,544,448,,511,519,3367,2537,764,4963,3942,,432,1278,3695,644,4529,,504,4732,495,,4572,1778,5005,493,1844,5169,4821,1681,551,568,5967,1138,5734,1810,562,411,,4679,524,1721,,1994,6809
2026-08-11 01:11,,4818,545,,,566,,1145,564,,,511,519,3367,2537,764,4963,3942,,,1213,3555,644,4529,,504,4732,495,,4572,1778,4935,493,1844,5169,4821,1681,536,568,5967,1138,5734,1810,562,411,,4744,,1721,709,1994,6809
2026-08-11 01:21,,4818,545,,,566,,1190,564,463,,511,519,3367,2537,764,4963,3942,,432,1278,3695,644,4529,,504,4732,480,,4572,1778,5005,478,1844,5169,4821,1681,551,568,6067,1138,5734,1810,562,,,4744,524,1721,,1994,6809
2026-08-11 01:31,,4818,545,,,566,,1190,544,463,,511,519,3367,2537,764,4963,3942,,,1213,3695,674,4529,,504,4732,465,,4572,1778,5005,493,1844,5169,4821,1681,551,,6067,1138,5734,1850,562,411,,4744,524,1721,679,1994,6954
2026-08-11 01:41,,4818,,,,566,,1190,,448,,511,519,3367,,764,4963,3942,,432,1213,3695,614,4529,,504,4797,480,,4572,1778,5005,493,1844,5169,4821,1681,551,568,6067,1138,5734,1810,562,411,,4744,524,1721,679,1994,6954
2026-08-11 01:51,,4818,590,,,566,,1145,544,448,,,519,3367,2537,764,4783,3942,,432,1213,3555,644,4529,,504,4797,480,,4572,1778,5005,493,1799,5169,4821,1681,536,,6067,1138,5734,1810,,411,,4744,524,1721,,1994,6809
2026-08-11 02:01,,4818,590,,,566,,1145,564,448,,,519,3367,2452,764,4783,3942,,,1213,3695,,4529,,504,4797,,,4572,1778,5005,493,,5169,4821,1681,551,568,6067,1138,5734,1810,562,411,,4744,524,1681,,,6954
