timestamp,.300BLK_5,.357 Magnum FMJ,.357 Magnum JHP,.45 ACP AP,.45 ACP FMJ,.50 AE FMJ,.50 AE JHP,12 Gauge 箭形弹,12 Gauge 龙息弹,12 Gauge独头 AP-20,12 Gauge独头 FTX,12.7x55mm PD12双头弹,12.7x55mm PS12,12.7x55mm PS12A,12.7x55mm PS12B,4.6x30mm AP SX,4.6x30mm FMJ SX,4.6x30mm Subsonic SX,45-70 Govt FMJ,45-70 Govt FTX,45-70 Govt RN,5.45x39mm BS,5.45x39mm BT,5.45x39mm PS,5.56x45mm M855,5.56x45mm M995,5.7x28mm L191,5.7x28mm SS190,5.8x42mm DBP10,5.8x42mm DVC12,5.8x42mm DVP88,6.8x51mm FMJ,6.8x51mm Hybrid,7.62x39mm AP,7.62x39mm BP,7.62x39mm PS,7.62x51mm BPZ,7.62x51mm M62,7.62x51mm M80,7.62x54R BT,7.62x54R LPS,7.62x54R T46M,9x19mm AP6.3,9x39mm BP,9x39mm SP5,9x39mm SP6,玻纤柳叶箭矢,碳纤维刺骨箭矢,碳纤维穿甲箭矢
2026-08-15 00:11,,,419,1890,551,,,,,591,,3567,2537,764,,3832,,492,,3695,644,4419,1941,,541,4667,,4637,1953,4935,493,1934,5074,4746,1681,,568,5867,1138,,,562,,4549,524,1801,769,1924,
2026-08-15 00:13,4818,545,419,1890,551,1145,,478,,591,519,3567,2537,764,4783,3832,1320,,1343,3835,674,4419,,,541,4667,495,4637,,4935,493,1934,,4746,1681,,568,5867,1138,,1810,562,426,4549,524,1801,,1994,
2026-08-15 00:21,4818,545,439,1925,536,1100,684,478,,591,519,3567,2537,764,4783,3887,1295,,1343,3835,674,4419,,,,4732,495,4637,,4935,493,1934,5169,4746,1681,551,568,5967,1138,,1810,562,426,4549,524,1801,,1924,5794
2026-08-15 00:31,4818,545,,1925,536,1100,684,,,591,519,3567,2537,764,4963,3887,1295,,1343,3695,644,4419,,,,4732,495,4637,,4935,,1934,5169,4746,1681,551,568,5967,1138,,1810,562,426,4549,524,1801,,1924,5794
2026-08-15 00:41,4818,545,,1925,551,1190,664,463,,591,519,3667,2537,,4963,3887,,,1343,3835,644,4419,,,,4732,495,4702,1953,5005,493,1934,5169,4746,1681,551,588,5967,1178,5734,1810,562,426,4549,,1761,769,1924,5794
2026-08-15 00:51,4818,500,419,1925,566,1145,664,478,,591,519,3667,2537,,4783,3887,1320,,1343,3835,644,4419,,,,4732,495,4767,1918,5005,478,1934,5169,4746,1681,,568,5967,1178,5734,1850,582,426,4614,544,1761,769,,5794
2026-08-15 01:01,4818,500,419,1925,551,1145,,478,,591,519,3667,2537,764,4783,3887,,,1343,3835,674,4419,,,,4732,495,4767,1953,5005,478,1934,5169,4746,1646,551,588,5967,1178,5734,1850,562,426,4614,544,1801,769,1994,5794
2026-08-15 01:11,4818,,419,1925,551,1145,684,478,,,519,3667,2537,764,,3887,1320,,1343,3695,674,,,,,4732,510,4767,1953,5005,493,1934,5264,4746,1646,551,568,5967,1178,5734,1850,582,426,4614,544,1761,,1994,5794
2026-08-15 01:21,4818,545,419,1855,551,1145,664,493,,591,519,3667,2622,764,4963,3887,1320,,1278,3835,,4474,,,,4732,510,4832,1918,5005,493,1934,5264,4821,1681,551,568,5967,1178,5734,1850,562,426,4679,544,1761,,1994,5794
2026-08-15 01:31,4893,500,419,1890,551,1190,684,493,,591,519,3667,2537,,4963,3887,1295,,1343,3835,674,4474,,,,4797,510,4832,1918,5005,493,1934,5359,4821,1681,551,568,5967,1178,5734,1810,562,426,4679,544,1801,,1994,5794
2026-08-15 01:41,4893,545,439,1890,551,,684,493,,591,519,3667,2537,764,4783,3887,1295,,1343,3835,674,4474,,504,,4862,495,4832,1953,5005,493,1934,5359,4821,1681,551,568,6067,1178,5734,1850,562,426,4679,544,1801,799,1994,5794
2026-08-15 01:51,4893,500,419,1890,551,1145,704,463,,591,499,3667,2537,764,4963,3887,1320,,1343,3835,644,4474,,,,4862,495,4767,1918,5005,493,1934,5359,4821,1681,551,568,6067,1178,5734,1810,562,426,4679,544,1801,799,1994,5794
2026-08-15 02:01,4893,500,419,1890,551,1145,704,463,,591,499,3667,2537,764,4963,3887,1320,,1278,3835,674,4474,,,,4862,495,4767,1918,5005,493,1934,5359,4821,1681,551,568,6067,1178,5734,1810,562,426,4679,544,1801,769,1994,5794
2026-08-15 02:11,4893,500,419,1890,551,1190,724,493,,591,519,3667,2537,764,4963,3887,1270,,1343,3835,644,4474,,,,4862,510,4832,,5005,493,1934,5359,4821,1681,551,568,6067,1178,,1850,562,426,4744,544,1801,799,1924,5939
2026-08-15 02:21,4893,545,419,1890,551,1145,684,493,,591,519,3667,2537,764,4963,3887,1320,,1343,3835,,4474,,,,4862,495,4897,1918,5005,493,1934,5359,4821,1681,551,588,6067,1178,5734,1850,562,426,4809,544,1801,,1994,5939
2026-08-15 02:31,4893,545,419,1890,551,1145,684,493,,,519,3667,2537,764,4963,3942,1295,,1278,3835,,4474,,,,4927,495,4897,1918,5005,493,1934,5359,4821,1681,551,568,6067,1178,5734,1810,562,411,4809,524,1761,799,1994,5939
2026-08-15 02:41,4893,545,419,1890,551,,,493,,,519,3667,2537,764,4963,3942,1295,,1343,3695,644,4474,,,,4927,495,4897,1918,5005,493,1934,5359,4821,1681,551,568,6067,1178,5734,1810,562,411,4809,524,1761,799,1994,5794
2026-08-15 02:51,4968,590,,1855,551,1100,704,478,,591,519,3667,2452,764,4963,3942,1320,,1278,3695,644,4474,,504,,4927,495,4897,1918,5005,478,1934,5359,4821,1681,551,568,6067,1138,5854,1810,562,426,4809,544,1801,,1994,5794
2026-08-15 03:01,4968,500,419,1855,551,,684,478,,,519,3667,2537,764,4783,3942,1295,,1278,3695,644,4529,,519,,,495,4897,1918,5005,493,1934,,4821,1681,551,568,6067,1138,5854,1810,562,426,4809,544,,,1994,5939
2026-08-15 03:11,4893,,419,,536,1145,,478,,,519,3667,2622,764,4783,3942,1295,,1343,3835,644,4529,,519,,4927,510,4897,1918,5005,493,1889,5454,4821,1681,551,568,6067,1138,5854,1810,582,426,4809,544,1801,799,1994,5939
2026-08-15 03:21,,590,419,,536,,724,478,,,519,3667,2537,764,4783,3942,1320,,1278,3835,644,4529,,519,,4927,510,4897,1918,5005,493,1934,5549,4821,1681,551,568,6067,1138,5854,1810,582,426,4809,544,,799,1994,5939
2026-08-15 03:31,4968,500,419,1855,551,,704,478,,,499,3667,2537,764,,3942,1320,,1278,3835,,4529,,519,,4927,495,4832,1918,5005,493,1934,5549,4821,1681,551,568,6067,1138,5854,1810,582,426,4809,544,1801,,1994,6084
2026-08-15 03:32,4968,500,419,1855,551,1190,704,478,,,499,3667,2537,764,4963,3942,1320,,1278,3835,644,4529,,519,,4927,495,4962,1918,5005,493,1934,5549,4821,1681,551,568,6067,1138,5854,1810,582,426,4809,544,1801,769,1994,5794
