timestamp,.300BLK_3,.300BLK_4,.300BLK_5,.357 Magnum FMJ,.357 Magnum JHP,.45 ACP AP,.45 ACP FMJ,.50 AE FMJ,.50 AE JHP,12 Gauge 8.5毫米鹿弹,12 Gauge 箭形弹,12 Gauge 龙息弹,12 Gauge独头 AP-20,12 Gauge独头 FTX,12.7x55mm PD12双头弹,12.7x55mm PS12,12.7x55mm PS12A,12.7x55mm PS12B,4.6x30mm AP SX,4.6x30mm FMJ SX,4.6x30mm Subsonic SX,45-70 Govt FMJ,45-70 Govt FTX,45-70 Govt RN,5.45x39mm BS,5.45x39mm BT,5.45x39mm PS,5.56x45mm M855,5.56x45mm M855A1,5.56x45mm M995,5.7x28mm L191,5.7x28mm R37.F,5.7x28mm SS190,5.7x28mm SS193,5.8x42mm DBP10,5.8x42mm DVC12,5.8x42mm DVP88,6.8x51mm FMJ,6.8x51mm Hybrid,7.62x39mm AP,7.62x39mm BP,7.62x39mm PS,7.62x51mm BPZ,7.62x51mm M62,7.62x51mm M80,7.62x54R BT,7.62x54R LPS,7.62x54R T46M,9x19mm AP6.3,9x19mm PBP,9x39mm BP,9x39mm SP5,9x39mm SP6,玻纤柳叶箭矢,碳纤维刺骨箭矢,碳纤维穿甲箭矢
2026-08-16 00:01,632,1967,4818,,,1960,551,,,383,463,1960,,519,3767,2622,799,,3832,1345,,1278,3835,644,,,579,571,,4862,525,647,4702,1893,1988,5005,508,1979,5264,4746,1681,566,568,5967,1178,5734,1890,562,411,1696,4549,544,1881,769,,5794
2026-08-16 00:11,,,4818,,459,,,,,383,478,,591,519,,2622,799,4963,3832,1320,,1278,3835,,4419,1941,549,,1941,4797,495,,4637,,1953,,508,1889,,4746,1681,551,588,5967,,,1810,,,,4549,544,1841,,1994,5649
2026-08-16 00:12,,,4818,545,459,,551,1100,704,,478,,591,519,3667,2622,799,4963,3832,1320,447,1278,3835,644,4419,,,,,4797,495,,4637,,,4935,508,1934,,4746,1681,551,588,5967,1178,,1810,562,411,,4549,544,,,1994,5649
2026-08-16 00:21,,,4818,590,459,,551,,704,,478,,591,519,3667,2622,799,,3832,,432,1278,3835,644,4419,,,,,,,,4637,,1953,5005,493,1934,5264,4746,,551,588,5967,1178,5734,,562,411,,4549,,,769,1994,5649
2026-08-16 00:31,,,4818,,459,,551,1145,724,,478,,591,519,3667,2622,799,,3832,,432,1278,3835,674,4419,,,,,4862,510,,4637,,1953,5005,493,1934,5264,4746,,551,588,5967,1178,5734,1850,562,411,,4549,,,769,1994,5649
2026-08-16 00:41,,,4818,545,,1925,551,1145,704,,463,,591,519,3767,2622,,4963,3832,1295,,1278,3835,644,4419,,,,,4862,,,4702,,1953,5005,508,1934,5264,4746,1681,551,588,5967,1178,5734,1850,562,411,,4549,544,,799,1994,5794
2026-08-16 00:51,,1897,4893,545,,1925,551,1145,704,,463,,591,519,3767,2622,799,4963,3832,,432,1278,3835,644,4419,,,,,4862,495,,4702,,1953,5005,493,1934,5264,4746,1681,551,588,5967,1178,5734,1810,562,411,,4549,,,799,1994,5794
2026-08-16 01:01,,,4893,545,,,551,1145,704,,,,591,519,3767,2622,799,4963,3832,,,1278,3835,644,4419,,,,,4862,495,,4767,,1953,5005,508,1934,5264,4746,1681,551,588,5967,1178,5734,1850,562,411,,4549,544,,,1994,5794
2026-08-16 01:11,,,4893,545,,,551,1145,744,,478,,591,519,3767,2622,,4963,3832,,432,,3835,644,4419,,,,,4927,510,,4767,,1953,5005,508,1934,5264,4746,,551,588,6067,1178,5734,1850,562,426,,4549,544,,799,1994,5794
2026-08-16 01:21,,,4968,545,,,551,1100,684,,463,,591,519,3767,2707,799,4963,3887,,447,1278,3835,644,4419,,,,,4927,510,,4767,,1953,5005,508,1934,5264,4746,1681,551,588,6067,1178,5734,1850,582,426,,4614,544,,799,1994,5794
2026-08-16 01:31,,,4968,545,,,551,1145,724,,478,,591,519,3767,2707,799,4963,3887,,447,1278,3835,614,4419,,,,,4927,510,,4832,,1918,5005,508,1934,5264,4821,1681,551,588,6067,,5734,1850,582,426,,4614,544,,769,1994,
2026-08-16 01:41,,,4968,500,,1925,551,1145,684,,478,,,,3767,2707,799,4963,3887,,432,1278,3835,614,4419,,,,,4927,,,4832,,1918,5005,508,1934,5264,4821,1681,551,,6067,1178,5734,1810,562,426,,4614,544,,769,1994,5939
2026-08-16 01:51,,,4968,500,,1890,551,1145,684,,478,,591,519,3767,,,4963,3887,,432,1278,,644,4419,,,,,4927,,,,,1918,5005,508,1934,5264,4821,1681,551,588,6067,1178,5734,,562,411,,4614,,,769,1994,5939
2026-08-16 02:01,,,4968,500,,1890,551,1145,704,,478,,591,519,3767,2707,,4963,3887,,432,1278,3835,764,4419,,,,,4927,510,,4767,,1918,5005,508,1934,5264,4821,1681,551,588,6067,1178,5734,1850,562,411,,4614,,,799,1994,5939
2026-08-16 02:11,,,4968,545,,,551,1145,664,,478,,591,519,3767,2707,799,4963,3887,,432,1278,3835,734,4474,,,,,4927,495,,4832,,1918,5005,508,1934,5264,4821,1681,551,,6067,1178,5854,1850,562,411,,4614,,1801,,1994,5939
2026-08-16 02:21,,,4968,500,,,551,1145,,,448,,591,519,3767,2707,,4783,3887,1270,432,1278,3695,734,4474,,,,,4927,510,,4832,,1918,5005,508,1934,5264,4821,1681,551,568,6067,1178,5854,1850,562,411,,4679,544,1801,739,1994,5939
2026-08-16 02:31,,,4968,500,,1890,551,1100,684,,478,,591,519,3767,2707,,4783,3887,,447,,,,4474,,,,,4927,510,,4832,,1953,5005,508,1934,5264,4821,1681,566,568,6067,1178,5854,1850,562,411,,4679,524,1801,,1994,5939
2026-08-16 02:41,,,4968,500,,,551,1100,684,,,,591,519,3767,2707,,4963,3887,,447,1343,,734,4474,,,,,4927,510,,4832,,1918,5005,508,1934,5264,4821,1681,566,568,6067,1178,5854,1850,562,411,,,524,1801,769,1994,5939
2026-08-16 02:51,,,,500,,1890,551,1100,644,,,,591,519,3767,2622,,4963,3942,,432,,3695,644,4474,,,,,4927,510,,4767,,1953,5005,,1934,5264,4821,1681,566,588,6067,1178,5854,1850,582,411,,4744,,,,1994,6084
