timestamp,.300BLK_3,.300BLK_4,.300BLK_5,.357 Magnum 9号霰射&#34;鼠弹&#34;,.357 Magnum FMJ,.357 Magnum JHP,.45 ACP AP,.45 ACP FMJ,.45 ACP RIP,.50 AE FMJ,.50 AE JHP,12 Gauge 8.5毫米鹿弹,12 Gauge 箭形弹,12 Gauge 龙息弹,12 Gauge独头 AP-20,12 Gauge独头 FTX,12.7x55mm PD12双头弹,12.7x55mm PS12,12.7x55mm PS12A,12.7x55mm PS12B,4.6x30mm AP SX,4.6x30mm FMJ SX,4.6x30mm Subsonic SX,45-70 Govt FMJ,45-70 Govt FTX,45-70 Govt RN,5.45x39mm BS,5.56x45mm M855,5.56x45mm M855A1,5.56x45mm M995,5.7x28mm L191,5.7x28mm SS190,5.7x28mm SS193,5.8x42mm DBP10,5.8x42mm DVC12,5.8x42mm DVP88,6.8x51mm FMJ,6.8x51mm Hybrid,7.62x39mm AP,7.62x39mm BP,7.62x39mm PS,7.62x51mm BPZ,7.62x51mm M62,7.62x51mm M80,7.62x54R BT,7.62x54R LPS,7.62x54R T46M,9x19mm AP6.3,9x19mm PBP,9x19mm RIP,9x39mm BP,9x39mm SP5,9x39mm SP6,玻纤柳叶箭矢,碳纤维刺骨箭矢,碳纤维穿甲箭矢
2026-08-21 00:01,,1967,,283,,,1995,626,875,1190,664,383,523,2040,711,,3467,,729,,3887,1395,417,1473,4115,644,,571,1881,4862,555,4637,,1883,,508,1889,5359,4971,1891,626,568,6267,1618,5974,1930,562,426,1786,788,4549,484,1801,739,,6809
2026-08-21 00:11,602,,4968,,,479,,,,1235,664,,523,,751,519,3567,2537,729,5143,3887,,432,1538,4115,,4364,,,4797,,4637,1803,1883,5005,493,1889,5359,4896,,,568,6267,1618,5974,1890,582,426,,,4549,504,1761,,1994,6664
2026-08-21 00:21,602,,4968,,680,479,,,,1190,,,508,,751,519,3567,2537,,4963,3887,,432,1538,4115,,,,1821,4797,,,1803,,5005,508,1889,5359,4971,,,,6267,1618,5974,1930,582,,,,4549,504,,739,1994,6809
2026-08-21 00:31,,1932,4968,,725,,1960,,,1235,644,,,,791,519,3567,2537,729,5143,3887,,432,1538,4115,674,4419,,,4862,,4702,1803,1918,5005,493,1889,5359,4971,,,588,6267,1618,6094,1930,582,441,,,4549,504,1761,,1994,6809
2026-08-21 00:41,,1897,4968,,725,,1960,,,1235,,,,,791,519,3567,2537,729,5143,3887,,432,1538,4115,614,4419,,,4862,,4702,,1918,5005,,1889,5359,4971,,,588,6267,1618,6094,1930,562,441,,,4549,504,1761,,1994,
2026-08-21 00:51,,,4968,,680,,,,,1235,644,,508,,751,519,3567,2537,729,5143,3887,,432,1603,4115,,4419,,1821,4862,,4767,1773,1918,5005,493,1889,5359,4971,,,568,6267,1658,6094,1890,,441,,,4549,524,1761,,1994,6809
2026-08-21 01:01,,,5043,,725,419,1925,,,1190,684,,508,,791,519,3567,2537,729,4963,3942,1345,432,1538,3975,,4419,,,4862,,4767,1773,1918,5005,508,1889,5359,4971,,,568,6267,1658,6094,1850,582,441,,,4614,524,1761,709,1994,6954
2026-08-21 01:11,,,5043,,680,,1925,,,,684,,508,,791,519,3567,2537,,,3942,,417,1538,4115,644,4419,,,4862,,4767,1773,1883,5005,508,1889,5359,4971,,,568,6267,1658,6094,1930,582,441,,,,524,1761,709,1994,6954
2026-08-21 01:21,,,5043,,680,459,,,,1235,684,,508,,791,519,3567,2537,,5143,3942,,432,1603,4115,644,4419,,,4862,,4767,,1883,5005,508,1889,5359,4971,,,568,6267,1658,6094,,582,441,,,4679,524,1761,709,1994,
2026-08-21 01:31,,,5043,,725,439,1925,,,1190,664,,508,,791,519,3567,2537,,4963,3942,,417,1538,4115,644,4419,,,4862,,4832,1803,1883,5005,508,1889,5359,4971,,,568,6267,1618,6094,1930,582,441,,,4679,524,1761,709,1994,6954
