timestamp,.300BLK_3,.300BLK_4,.300BLK_5,.357 Magnum 9号霰射&#34;鼠弹&#34;,.357 Magnum FMJ,.357 Magnum JHP,.45 ACP AP,.45 ACP FMJ,.50 AE FMJ,.50 AE JHP,12 Gauge 箭形弹,12 Gauge 龙息弹,12 Gauge独头 AP-20,12 Gauge独头 FTX,12.7x55mm PD12双头弹,12.7x55mm PS12,12.7x55mm PS12A,12.7x55mm PS12B,4.6x30mm AP SX,4.6x30mm FMJ SX,4.6x30mm Subsonic SX,45-70 Govt FMJ,45-70 Govt FTX,45-70 Govt RN,5.45x39mm BS,5.45x39mm BT,5.45x39mm PS,5.56x45mm M855A1,5.56x45mm M995,5.7x28mm L191,5.7x28mm R37.F,5.7x28mm SS190,5.7x28mm SS193,5.8x42mm DBP10,5.8x42mm DVC12,5.8x42mm DVP88,6.8x51mm FMJ,6.8x51mm Hybrid,7.62x39mm AP,7.62x39mm BP,7.62x39mm PS,7.62x51mm BPZ,7.62x51mm M62,7.62x51mm M80,7.62x54R BT,7.62x54R LPS,7.62x54R T46M,9x19mm AP6.3,9x39mm BP,9x39mm SP5,玻纤柳叶箭矢,碳纤维刺骨箭矢,碳纤维穿甲箭矢
2026-08-22 00:01,617,2002,4968,283,,439,1960,,,,568,2000,,519,3767,2622,,4963,3942,1395,492,1473,,,4419,1941,,1911,4992,,647,4767,1893,1918,5215,508,1934,5359,4971,,,568,6267,,6094,1890,582,,4484,,,1924,
2026-08-22 00:11,,,4893,,590,,,566,1235,604,553,2000,,519,3767,2622,,,3942,,477,1538,,,,1941,519,,4992,,,4832,1893,1918,5215,508,1934,5359,4971,1681,566,,6267,,6094,1930,,411,,504,,1994,
2026-08-22 00:21,,,4968,,590,459,1995,581,1235,,,,671,519,3767,2622,764,4963,3942,,,1538,4115,644,4419,,519,,4992,510,,4897,,1918,5215,508,1934,5359,4971,1681,566,588,6267,1538,6094,1930,582,411,4549,,709,1994,6809
2026-08-22 00:31,,,4968,,635,,1995,566,1190,644,,,711,519,3867,2707,764,5143,3942,,,,4115,,4419,,519,,4992,525,,4897,,1953,5215,508,1934,5359,4971,1681,566,588,6267,1538,6094,1930,,411,4549,524,709,1994,6954
2026-08-22 00:41,,,4968,,590,439,1960,,1190,624,,,671,519,3867,2707,799,5143,3942,,,1538,3975,644,4419,,,,4992,525,,4897,,1953,5215,508,1934,5359,4971,1681,566,568,6267,1538,6094,1930,582,426,4614,524,709,1994,6954
2026-08-22 00:51,,,4968,,590,439,1995,551,1235,644,,,711,519,3867,2707,799,5143,3942,,,1538,4115,614,4419,,,,4992,,,4897,1833,,5285,508,1934,5359,4971,1681,551,568,6267,1538,6094,1930,582,426,4614,,,1994,6954
2026-08-22 01:01,,,4968,,590,439,1925,551,1235,644,,,711,519,3867,2707,799,4963,3942,,,1538,4115,614,4419,,519,,4992,510,,,,1918,5285,508,1934,5359,4971,1681,566,568,6267,1538,6094,1930,562,426,4614,524,709,1994,6954
2026-08-22 01:11,,,4968,,635,,,566,1235,,,,711,519,3867,2707,799,,3942,,,1538,4115,614,,,519,,4992,510,,,1833,1918,5285,508,1934,5359,4971,1646,,568,6267,1538,6094,1930,562,426,4614,524,709,1994,6954
2026-08-22 01:21,,,5043,,590,439,1925,551,1235,,,,711,519,3867,2622,799,5143,3942,,,,3975,614,4419,,519,,4992,510,,4897,,1918,5285,508,1934,5454,4971,1646,566,588,6267,1538,6094,1930,582,,4614,504,709,1994,6954
2026-08-22 01:31,,,5043,,590,,1925,566,1190,,,,711,519,3867,2707,799,4963,3942,,,1538,4115,,4419,,519,,4992,,,4962,,1918,5285,508,1934,5454,4971,1681,566,588,6267,1538,6094,1890,582,411,4614,524,709,1994,6954
2026-08-22 01:41,,,,,590,,1960,566,1190,664,,,711,519,3867,2707,799,5143,3942,,,,3975,614,4419,,519,,4992,525,,4962,,1918,5285,508,1934,,4971,1646,566,568,6267,1538,6094,1930,562,411,4614,504,,1994,6954
2026-08-22 01:51,,,,,545,439,1890,566,1190,644,,,671,519,3867,2707,799,5143,3942,,,1603,4115,,4419,,519,,4992,510,,4962,,1918,5285,508,1934,5549,5046,1681,566,568,6267,1538,6214,1930,562,426,4614,484,739,1994,7099
2026-08-22 02:01,,,5268,,545,439,1890,566,1190,664,,,671,519,3867,2707,834,5143,3942,,,1603,4115,644,4419,,519,,4992,510,,4962,,1918,5285,508,1934,5549,5046,1681,566,568,6267,1538,6214,1930,562,426,4614,484,739,1994,7099
