timestamp,.300BLK_4,.300BLK_5,.357 Magnum FMJ,.357 Magnum JHP,.45 ACP AP,.45 ACP FMJ,.50 AE FMJ,.50 AE JHP,12 Gauge 箭形弹,12 Gauge 龙息弹,12 Gauge独头 AP-20,12 Gauge独头 FTX,12.7x55mm PD12双头弹,12.7x55mm PS12,12.7x55mm PS12A,12.7x55mm PS12B,4.6x30mm AP SX,4.6x30mm FMJ SX,4.6x30mm Subsonic SX,45-70 Govt FMJ,45-70 Govt FTX,45-70 Govt RN,5.45x39mm BS,5.45x39mm BT,5.45x39mm PS,5.56x45mm M855,5.56x45mm M855A1,5.56x45mm M995,5.7x28mm L191,5.7x28mm R37.F,5.7x28mm SS190,5.7x28mm SS193,5.8x42mm DBP10,5.8x42mm DVC12,5.8x42mm DVP88,6.8x51mm FMJ,6.8x51mm Hybrid,7.62x39mm AP,7.62x39mm BP,7.62x39mm PS,7.62x51mm BPZ,7.62x51mm M62,7.62x51mm M80,7.62x54R BT,7.62x54R LPS,7.62x54R T46M,9x19mm AP6.3,9x19mm PBP,9x19mm RIP,9x39mm BP,9x39mm SP5,9x39mm SP6,玻纤柳叶箭矢,碳纤维刺骨箭矢,碳纤维穿甲箭矢
2026-08-23 00:01,2072,5118,590,,2065,581,,,,2040,,,3867,,729,4963,,,,,,614,4419,1941,,571,1911,,540,647,4767,1893,2023,5285,,1934,5359,4971,,566,568,6367,1538,6094,2010,,411,1726,758,4484,524,1921,739,,
2026-08-23 00:11,,5118,590,,,,,604,493,,631,519,3867,2707,729,4963,3942,,,,3975,,4419,,,571,,4927,540,637,4897,,2023,5285,493,1979,5359,4971,,566,568,6367,1538,6094,2010,582,426,,,4549,524,,,1994,6954
2026-08-23 00:21,,5193,590,419,1995,551,1235,624,,,631,519,3867,2707,834,5143,3997,1295,,1473,3975,584,4419,,,,,4992,,,4897,,,5285,493,2024,5359,4971,1716,566,588,6367,1538,6214,2010,582,426,,,4549,524,,,1994,7099
2026-08-23 00:31,,5193,590,,2065,551,1190,604,478,,631,519,3867,2707,834,5143,3997,1295,,1538,3975,,4419,,,,,4992,,,,,,5285,493,1979,5359,4971,1716,566,568,6367,1538,6214,,582,426,,,4549,524,,,,7099
2026-08-23 00:32,,5193,590,439,2065,551,1190,604,478,,631,519,3867,2707,834,5143,3997,1295,,1538,3975,614,4419,,,,,4992,,,4962,,,5285,493,1979,5359,4971,1716,566,568,6367,1538,6214,,582,426,,,4549,524,,,,7099
2026-08-23 00:41,,5193,590,459,2065,551,1190,604,,,631,519,3867,2707,834,5143,4052,1320,,1538,,614,4419,,,,,4992,,,4962,,1988,5355,,1979,5359,4971,1716,,,6367,1538,6214,1970,582,426,,,4549,,,,1994,6954
2026-08-23 00:51,,5268,,459,2100,566,1190,604,493,,631,519,3867,2707,834,4963,4052,,,1538,4115,614,4419,,519,,,4992,,,4962,,1988,5355,508,1979,5359,4971,1716,551,568,6367,1538,6214,,582,426,,,4614,524,,769,1994,
2026-08-23 01:01,,5268,590,439,2065,551,1190,604,478,,631,519,3867,2707,834,4963,,,,1538,4115,644,4419,,,,,4992,,,4962,,1988,5355,508,1979,5359,4971,1716,551,568,6367,1538,6214,2010,582,426,,,4614,524,,769,1994,7099
2026-08-23 01:11,,5343,,439,2065,551,1235,604,493,,631,519,3967,2707,799,5143,4107,,447,1538,3975,644,4419,,,,,5057,,,4897,,,5355,508,1979,5359,4971,1681,551,588,6367,1538,6334,1970,582,426,,,4614,,,769,1994,7244
2026-08-23 01:21,,5343,,439,2030,551,1235,,493,,631,519,3967,2707,799,5143,4107,1295,,1538,4115,674,4419,,,,,5057,,,4962,,,5425,508,1979,5359,5046,1716,551,568,6367,1538,6334,1970,582,426,,,4614,,1841,769,1994,7244
