timestamp,.300BLK_3,.300BLK_4,.300BLK_5,.357 Magnum 9号霰射&#34;鼠弹&#34;,.357 Magnum FMJ,.357 Magnum JHP,.45 ACP AP,.45 ACP FMJ,.50 AE FMJ,.50 AE JHP,12 Gauge 8.5毫米鹿弹,12 Gauge 箭形弹,12 Gauge 龙息弹,12 Gauge独头 AP-20,12 Gauge独头 FTX,12.7x55mm PD12双头弹,12.7x55mm PS12,12.7x55mm PS12A,12.7x55mm PS12B,4.6x30mm AP SX,4.6x30mm FMJ SX,4.6x30mm Subsonic SX,45-70 Govt FMJ,45-70 Govt FTX,45-70 Govt RN,5.45x39mm BS,5.45x39mm BT,5.45x39mm PS,5.56x45mm M855,5.56x45mm M855A1,5.56x45mm M995,5.7x28mm L191,5.7x28mm R37.F,5.7x28mm SS190,5.7x28mm SS193,5.8x42mm DBP10,5.8x42mm DVC12,5.8x42mm DVP88,6.8x51mm FMJ,6.8x51mm Hybrid,7.62x39mm AP,7.62x39mm BP,7.62x39mm PS,7.62x51mm BPZ,7.62x51mm M62,7.62x51mm M80,7.62x54R BT,7.62x54R LPS,7.62x54R T46M,9x19mm AP6.3,9x19mm PBP,9x39mm BP,9x39mm SP5,9x39mm SP6,玻纤柳叶箭矢,碳纤维刺骨箭矢,碳纤维穿甲箭矢
2026-08-28 00:01,497,1967,5418,,,,1925,446,,,383,523,2000,,,3367,2452,519,,4327,1495,387,1538,3975,374,,,444,421,,5122,315,647,4897,1803,1778,,358,1889,5644,5421,1891,476,,6367,,,,422,336,1786,4614,364,1761,379,1994,7099
2026-08-28 00:11,497,,5418,,590,,1960,446,1280,,,478,,711,519,3367,2452,519,5143,4327,1470,387,,4115,374,,,459,421,,5122,315,,,,1813,5495,358,1844,5644,5421,,476,448,6367,1538,6574,,442,,1786,4614,344,1721,409,1994,
2026-08-28 00:21,497,,5493,,,399,,,1280,,,,,711,519,3367,,519,5143,4327,,387,,,,4694,,459,,,5122,315,,4962,,1813,5495,,1889,5644,5421,,476,448,6367,1538,6574,,,366,,4614,344,1721,,1994,7099
2026-08-28 00:31,497,,5493,,,399,,,,,,478,,711,519,3367,2452,519,5143,4327,,402,,,374,4694,,459,436,,5122,315,,4962,,1813,5495,373,1889,5739,5421,,491,448,6367,1538,6574,1810,442,366,,4614,364,1721,409,,7099
2026-08-28 00:41,497,,5493,,590,399,1960,,1325,,,,,711,519,3367,2452,519,5143,4327,,402,1603,,374,4694,,459,436,,5122,315,,4962,,,5495,373,1889,5739,5421,,491,448,6367,1538,6574,1810,442,366,,4614,364,1721,409,,7099
2026-08-28 00:51,,,5568,,590,,1995,,,704,,,,671,519,3367,2452,519,5143,4327,,387,1538,4115,374,4749,,474,436,,5122,330,,5027,,1848,5495,373,1889,5739,5496,,491,448,6367,1578,6574,1810,442,366,,4614,364,1721,,1994,7099
2026-08-28 01:01,512,,5568,,590,,1995,,,704,,,,671,519,3367,2452,519,5143,4327,,387,1538,4115,374,4749,,474,436,,5122,330,,5027,,1848,5495,373,1889,5739,5496,,491,448,6367,1578,6574,1810,442,366,,4614,364,1721,439,1994,7099
2026-08-28 01:11,512,,5568,,,,,461,1280,744,,478,,711,519,3467,2452,519,5143,4327,,402,1538,,374,4749,,459,436,,5122,,,5027,,1848,5565,373,1889,5739,5571,,476,468,6367,1578,6574,1810,442,366,,4614,344,,,1994,7244
2026-08-28 01:21,512,,5568,,590,,1960,461,,,,,,711,519,3467,2452,519,4963,4382,,402,,4115,374,4749,,,436,,5122,345,,5027,,1813,5565,373,1889,5834,5571,,491,448,6467,1538,6574,1810,,366,,4679,364,1721,409,1994,7244
2026-08-28 01:31,497,,5568,,590,,1960,461,1235,744,,478,,711,519,3467,2452,519,5143,4382,,402,1603,4115,374,4749,,444,436,,5122,345,,5027,,1848,5565,373,1889,5834,5646,,476,448,6467,1538,6694,1810,442,366,,4679,364,,,1994,7244
