timestamp,.300BLK_3,.300BLK_4,.300BLK_5,.357 Magnum 9号霰射&#34;鼠弹&#34;,.357 Magnum FMJ,.357 Magnum JHP,.45 ACP AP,.45 ACP FMJ,.50 AE FMJ,.50 AE JHP,12 Gauge 8.5毫米鹿弹,12 Gauge 箭形弹,12 Gauge 龙息弹,12 Gauge独头 AP-20,12 Gauge独头 FTX,12.7x55mm PD12双头弹,12.7x55mm PS12,12.7x55mm PS12A,12.7x55mm PS12B,4.6x30mm AP SX,4.6x30mm FMJ SX,4.6x30mm Subsonic SX,45-70 Govt FMJ,45-70 Govt FTX,45-70 Govt RN,5.45x39mm BS,5.45x39mm BT,5.45x39mm PS,5.56x45mm M855,5.56x45mm M855A1,5.56x45mm M995,5.7x28mm L191,5.7x28mm R37.F,5.7x28mm SS190,5.7x28mm SS193,5.8x42mm DBP10,5.8x42mm DVC12,5.8x42mm DVP88,6.8x51mm FMJ,6.8x51mm Hybrid,7.62x39mm AP,7.62x39mm BP,7.62x39mm PS,7.62x51mm BPZ,7.62x51mm M62,7.62x51mm M80,7.62x54R BT,7.62x54R LPS,7.62x54R T46M,9x19mm AP6.3,9x19mm PBP,9x19mm RIP,9x39mm BP,9x39mm SP5,9x39mm SP6,玻纤柳叶箭矢,碳纤维刺骨箭矢,碳纤维穿甲箭矢
2026-09-03 00:01,452,1897,5568,,,599,,461,,,383,,,471,519,3367,,,,4382,1420,387,1473,4395,434,,1866,369,376,1911,5447,390,587,4962,1773,1848,5495,388,1754,,,1786,446,468,,1538,,1890,422,351,1696,698,4614,344,1681,529,1994,
2026-09-03 00:11,,1897,5568,,,639,,,,,,388,1640,471,519,3367,,554,5323,,1395,387,,4395,434,4969,,,391,,5382,390,,5027,,,5565,388,1754,5549,5571,,446,,6267,1538,6454,,,351,1696,,4614,364,1681,559,1994,
2026-09-03 00:21,452,,5643,,500,679,,,,,,388,1640,471,519,3367,2197,554,5323,4382,,387,,4395,434,4969,,384,391,,5382,390,,5027,,1848,5565,388,1754,5549,5571,,446,468,6267,1538,6454,,442,351,,,4614,364,1681,,1994,
2026-09-03 00:31,452,,5643,,500,679,,,,464,,,1680,,,3467,2197,554,5143,4437,,387,1473,4535,,5024,,384,391,,5447,390,,5027,,1848,5565,388,1754,5644,5571,,446,468,6367,1538,6454,,422,351,,,4614,364,1681,,1994,
2026-09-03 00:41,452,,5643,208,500,739,1960,,1325,464,,,1680,511,,3467,2112,554,5143,4437,,387,,4535,,5024,,384,391,,5447,390,,5027,,1848,5565,388,1754,5644,5571,,446,468,6367,1538,6454,,422,351,,,4614,364,1681,,1994,
2026-09-03 00:51,467,,5643,,500,739,1925,,1325,,,,1680,471,519,3467,2112,,5143,4437,,387,1473,,434,5024,,384,391,,5447,390,,,,1883,5565,388,1754,5644,5646,,446,468,6367,,6454,,442,351,,,4679,364,1681,559,,6954
2026-09-03 01:01,452,1932,5643,,500,739,1925,,1325,484,,,1680,471,519,3467,2197,,5143,4437,,387,1473,4535,434,5024,,384,391,,5447,390,,,,1848,5565,388,1754,5644,5646,,446,468,6367,1618,6454,,442,351,,,4679,364,1681,559,,6954
2026-09-03 01:11,452,,5643,,545,719,1960,,1280,484,,,1680,511,,3467,2197,,,4437,1395,387,1473,4395,434,5024,,384,391,,5447,390,,5092,,1883,5565,388,1754,5739,5646,,446,468,6367,1658,6454,,422,351,,,4679,364,1681,559,,6954
2026-09-03 01:21,467,,5643,,500,719,1960,,,464,,388,1680,,519,3467,2027,554,5143,4437,,387,,4535,,5024,,384,391,,5447,390,,5092,,1883,5565,388,1754,5739,5721,,446,468,6367,1658,6454,,422,351,,,4679,364,1681,559,1994,6954
2026-09-03 01:31,467,,5643,,500,719,1960,,,464,,388,1680,,519,3467,2027,554,5143,4437,,387,1538,4535,464,5024,,384,391,,5447,390,,5092,,1883,5565,388,1754,5739,5721,,446,468,6367,1658,6454,,422,351,,,4679,364,1681,559,1994,6954
2026-09-03 01:41,452,,5643,,545,759,1925,476,1280,,,,1720,,,3467,2197,554,5143,4437,1395,387,1473,4535,434,5024,,384,376,,5447,390,,5092,,1883,5565,388,1754,5739,5721,,446,488,6367,1658,6454,1890,442,351,,,4744,,1681,,1994,7099
2026-09-03 01:51,452,1897,5718,,545,779,1925,476,1280,464,,,1720,511,,3467,2197,,,4437,,387,,4395,,5024,,384,376,,5447,390,,5092,,1848,5565,388,1754,5739,5721,,446,488,6367,1658,6574,1890,442,351,,,4744,364,1681,559,1994,7099
