timestamp,.300BLK_3,.300BLK_5,.357 Magnum FMJ,.357 Magnum JHP,.45 ACP AP,.45 ACP FMJ,.50 AE FMJ,.50 AE JHP,12 Gauge 箭形弹,12 Gauge独头 AP-20,12 Gauge独头 FTX,12.7x55mm PD12双头弹,12.7x55mm PS12,12.7x55mm PS12A,12.7x55mm PS12B,4.6x30mm AP SX,4.6x30mm FMJ SX,4.6x30mm Subsonic SX,45-70 Govt FMJ,45-70 Govt FTX,45-70 Govt RN,5.45x39mm BS,5.45x39mm PS,5.56x45mm M855,5.56x45mm M995,5.7x28mm L191,5.7x28mm R37.F,5.7x28mm SS190,5.8x42mm DBP10,5.8x42mm DVC12,5.8x42mm DVP88,6.8x51mm FMJ,6.8x51mm Hybrid,7.62x39mm AP,7.62x39mm PS,7.62x51mm BPZ,7.62x51mm M62,7.62x51mm M80,7.62x54R BT,7.62x54R LPS,7.62x54R T46M,9x19mm AP6.3,9x39mm BP,9x39mm SP5,9x39mm SP6,玻纤柳叶箭矢,碳纤维刺骨箭矢,碳纤维穿甲箭矢
2026-09-05 05:32,,6543,,759,2380,581,920,344,373,,519,2967,,484,5143,4492,997,237,1278,3835,404,5299,,,5837,435,,5677,,5635,,2204,5549,5646,,528,6167,1498,6454,2050,522,,4679,,,619,1924,5214
2026-09-05 05:41,,6543,,759,2380,581,,304,,,499,2867,2112,,5143,4492,,237,1278,3835,404,5299,,,5837,,,5677,,5635,,2204,5549,5646,,528,6167,1498,6454,2050,522,,4679,,,619,1994,5214
2026-09-05 05:51,,6468,,739,2380,581,1010,324,373,,519,2967,2282,519,5143,4382,1047,237,1278,3695,374,5244,,,5837,435,,5482,,5565,,2204,5454,5571,,528,6167,1498,6334,2050,522,,4614,,,709,1994,5214
2026-09-05 05:52,,6468,,739,2380,581,1010,324,373,,519,2967,2282,519,5143,4382,1047,237,1278,3695,374,5244,,,5837,435,,5482,,5565,,2204,5454,5571,,528,6167,1498,6334,2050,522,,4614,,,709,1994,5214
2026-09-05 06:01,,6543,,779,2380,581,965,324,373,,519,2967,2112,519,5143,4382,,237,1278,3835,374,5189,,,5772,435,,5352,,5495,,2204,5454,5571,,528,6067,1498,6454,,522,,4614,,,709,1994,5359
2026-09-05 06:11,,6543,,779,2380,,920,284,388,,519,2867,2112,484,,4272,,252,1213,3835,434,5189,,,5772,435,,5352,,5495,,2204,5454,5571,,528,6067,1458,6454,2050,522,,4614,,,709,1924,5359
2026-09-05 06:21,,6468,,759,2380,581,1010,304,388,,519,2967,2112,484,4963,4162,1047,252,1213,,404,5079,,,5642,435,,5222,,5285,,2204,5359,5421,,528,6067,1458,6334,2050,522,,4484,,,679,1924,5214
2026-09-05 06:31,,6468,590,759,2415,581,920,304,388,,519,2967,2197,,4963,4162,1047,252,1213,3555,404,5079,,,5642,435,,5027,,5215,,2249,5264,5421,,528,6067,1418,6334,2050,522,,4484,,,679,1994,5214
2026-09-05 06:41,,6393,,779,2415,581,,,388,,519,2967,,519,4963,4107,1345,,1213,3555,,5024,,,5642,435,,4962,,5075,463,2249,5074,5421,,528,5967,1378,6214,2050,522,,4419,,,679,1924,4924
2026-09-05 06:51,,6243,,779,2415,581,965,,388,,519,2967,2282,519,4963,4052,1047,252,1213,3555,404,4969,,481,5447,450,,4897,,5005,,2249,5074,,,528,5867,1378,6094,2010,522,,4289,,,679,1924,
