timestamp,.300BLK_3,.300BLK_4,.300BLK_5,.357 Magnum 9号霰射&#34;鼠弹&#34;,.357 Magnum FMJ,.357 Magnum JHP,.45 ACP AP,.45 ACP FMJ,.50 AE FMJ,.50 AE JHP,12 Gauge 8.5毫米鹿弹,12 Gauge 箭形弹,12 Gauge 龙息弹,12 Gauge独头 AP-20,12 Gauge独头 FTX,12.7x55mm PD12双头弹,12.7x55mm PS12,12.7x55mm PS12A,12.7x55mm PS12B,4.6x30mm AP SX,4.6x30mm FMJ SX,4.6x30mm Subsonic SX,45-70 Govt FMJ,45-70 Govt FTX,45-70 Govt RN,5.45x39mm BS,5.45x39mm PS,5.56x45mm M855,5.56x45mm M995,5.7x28mm L191,5.7x28mm R37.F,5.7x28mm SS190,5.7x28mm SS193,5.8x42mm DBP10,5.8x42mm DVC12,5.8x42mm DVP88,6.8x51mm FMJ,6.8x51mm Hybrid,7.62x39mm AP,7.62x39mm BP,7.62x39mm PS,7.62x51mm BPZ,7.62x51mm M62,7.62x51mm M80,7.62x54R BT,7.62x54R LPS,7.62x54R T46M,9x19mm AP6.3,9x19mm RIP,9x39mm BP,9x39mm SP5,9x39mm SP6,玻纤柳叶箭矢,碳纤维刺骨箭矢,碳纤维穿甲箭矢
2026-09-06 00:01,587,2562,6018,,,639,2660,581,1010,384,,388,,,,2967,2452,554,5143,,,,1408,3555,554,5024,489,511,5252,510,507,5027,2613,2688,,493,2519,5264,5346,,536,528,5867,1498,6094,2410,,486,,4419,,2641,679,,5069
2026-09-06 00:11,,,6018,,590,659,,,1010,424,,388,1280,471,519,2967,2367,,5143,4217,1022,237,1473,3555,554,5024,,,5252,495,,5092,,,4935,478,,5264,5346,1856,,528,5867,1498,6094,,522,,,4419,,,679,1924,5069
2026-09-06 00:21,,,6018,,545,,,,1055,444,,388,1280,471,519,3067,2367,589,4963,4217,1022,237,1473,3415,,5079,,,,,,5092,,,4935,463,,5264,5346,,,528,5867,1498,6094,,522,,,4419,,,709,1994,5069
2026-09-06 00:22,,,6018,,545,,,,1055,444,,388,1280,471,519,3067,2367,589,4963,4217,1022,237,1473,3415,,5079,,,5252,,,5092,,,4935,463,,5264,5421,,,528,5867,1498,6094,,522,,,4419,,,709,1994,5069
2026-09-06 00:41,,,6093,,545,659,,,1010,424,,388,1280,471,519,,2367,624,5143,4041,1022,237,1408,3555,554,5079,,,5317,,,5092,,,4935,478,,5264,5421,,,528,5867,1498,6214,,522,,,4419,,,709,1994,5069
2026-09-06 00:51,,,6243,,545,,,,1010,424,,388,1280,471,519,2967,2367,624,4963,4217,1022,237,1408,3415,,5134,,,5317,,,5157,,,4935,478,,,5421,,,528,5867,1498,6214,,522,,,4419,,,679,1994,5069
2026-09-06 01:01,,,6243,,590,659,,,1010,404,,388,1280,471,519,2967,2367,624,4963,4217,1022,237,1408,3415,584,5134,,,5317,,,5157,,,5005,478,,5359,5421,,,528,5867,1498,6214,,522,,,4419,,,679,1994,5069
2026-09-06 01:11,,,6243,,545,659,,,,,,388,1320,471,519,3067,2367,624,4963,4217,1022,237,1343,3555,584,5189,,,5317,,,5222,,,5075,478,,5359,5496,,,528,5867,1498,6214,,522,,,4484,304,,679,1994,5069
2026-09-06 01:21,,,6318,,545,,,,1010,384,,388,1320,471,519,3067,2452,624,5143,4272,1345,237,1343,3555,614,5189,,,5382,,,5222,,,5145,493,,5359,5496,,,528,5867,1498,6214,,522,,,4549,304,,679,1994,5069
2026-09-06 01:31,,,6318,,545,,,,1010,,,388,1320,471,519,2967,2367,624,4963,4272,1022,237,1343,3555,584,5189,,,5447,,,5222,,,5145,493,,5359,5496,,,528,5867,1498,6214,,522,,,4549,304,,649,1994,5069
2026-09-06 01:41,,,6543,,500,619,,,1010,404,,388,1320,471,519,2967,,624,5143,4272,1022,237,1343,3555,,5244,,,5512,,,5222,,,5145,493,,5359,5496,,,528,5867,1498,6214,,522,,,4614,304,,649,1994,5069
2026-09-06 01:51,,,6543,,,619,,,1010,404,,388,1320,471,519,2967,2452,624,4963,4327,997,237,1343,3555,,5244,,,5512,,,5222,,,5145,493,,5359,5496,,,528,5867,1498,6214,,522,,,4614,,,709,1994,5069
2026-09-06 02:01,,,6618,,545,619,,,1010,424,,388,1320,471,519,2967,2452,624,4963,4327,997,237,1343,3555,,5244,,,5642,,,5222,,,5145,493,,5359,5496,,,528,5867,1498,6214,,522,,,4614,,,709,1994,5069
2026-09-06 02:11,,,6618,,545,619,,,,424,,388,1320,471,519,3067,2452,589,5143,4327,1022,237,1343,3555,,5244,,,5707,,,5222,,,5145,493,,5359,5496,,,528,5967,1498,6214,,522,,,4614,,,709,1994,5069
2026-09-06 02:21,,,6618,,500,659,,,,404,,388,1320,471,519,2967,2452,624,5143,4327,997,237,1343,3555,554,5354,,,5707,,,5222,,,5215,493,,5454,5571,,,528,5967,1498,6214,,522,,,4614,,,739,1994,5069
2026-09-06 02:31,,,6618,,590,699,,,,424,,388,1320,471,519,2967,2452,624,5143,4327,997,237,1343,3555,554,5464,,,5707,,,5222,,,5215,493,,5454,5571,,,528,6067,1498,6214,,522,,,4614,,,739,1994,5069
2026-09-06 02:41,,,6693,,500,699,,551,,364,,388,1320,471,519,2967,2452,589,5143,4327,1320,237,1343,3415,524,5519,,,5707,,,5222,,,5215,493,,5454,5571,,,528,6067,1498,,,522,,,4614,,,739,1994,5069
2026-09-06 02:51,,,6693,,590,679,,551,,444,,388,1320,471,519,2967,2452,589,5143,4041,1022,237,1343,3555,,5739,,,5707,495,,5222,,,5215,493,,5549,5646,,,528,6067,1498,6214,,522,,,4614,,,709,1994,4924
2026-09-06 03:01,,,6693,,590,679,,551,,444,,388,1320,471,519,2967,2452,589,5143,4041,1022,237,1343,3555,,5739,,,5707,495,,5222,,,5215,493,,5549,5646,,,528,6067,1498,6334,,522,,,4614,,,709,1994,4924
2026-09-06 03:11,,,6768,,590,719,,551,920,404,,373,1320,471,499,,2452,624,5863,4327,997,237,1343,3555,,5574,,,5772,,,5222,,,5215,493,,5549,5721,,,528,6167,1498,6334,,522,,,4679,,,739,1994,5069
2026-09-06 03:21,,,6768,,590,719,,,,404,,388,1320,471,519,2967,2452,,5323,4327,997,237,1343,3555,554,5574,,,5772,495,,5287,,,5215,493,,5549,5721,,,528,6167,1498,6454,,522,,,4679,,,709,1994,5069
2026-09-06 03:31,,,6768,,545,699,,,,404,,373,1280,471,499,2967,2367,624,5143,4327,997,237,1343,3555,584,5684,,,5772,495,,5287,,,5215,493,,5549,5721,,,528,6167,1498,6334,,522,,,4679,,,739,1994,5069
2026-09-06 03:41,,,6768,,545,,,,920,444,,388,1280,,519,2967,2452,589,5323,4327,997,237,1408,3555,554,5739,,,5772,495,,5352,,,5215,493,,5549,5721,,,528,6167,1498,6454,,522,,,4679,,,739,1994,5069
2026-09-06 03:51,,,6768,,590,739,,,920,384,,388,1320,471,519,2967,2367,554,5323,4327,1295,,1343,3555,,5684,,,5772,495,,5352,,,5215,493,,,5721,,,528,6167,1498,6454,,522,,,4679,,,739,1994,5069
2026-09-06 04:01,,,6768,,590,739,,,920,384,,388,1320,471,519,2967,2367,554,5323,4382,1295,252,1343,3555,584,5684,,,5772,495,,5352,,,5215,493,,5644,5721,,,528,6167,1498,6454,,522,,,4679,,,739,1994,5069
2026-09-06 04:11,,,6768,,500,719,,,920,384,,388,1320,471,519,2967,,554,5143,4382,997,237,1343,3415,584,5629,,,5837,495,,5157,,,5215,493,,5644,5721,,,528,6167,1498,6454,,522,,,4679,304,,709,1994,5069
2026-09-06 04:21,,,6768,,500,739,,,1010,,,358,1320,,519,2867,2367,589,5143,4382,997,252,1343,3415,554,5629,,,5837,495,,5027,,,5215,493,,5644,5721,,,528,6167,1498,6454,,522,,,4679,304,,709,1994,5069
2026-09-06 04:31,,,6768,,545,759,,,965,424,,358,1280,471,519,2967,2452,589,5503,4382,997,237,1343,3415,554,5574,,,5772,495,,5287,,,5215,493,,5644,5721,,,528,6267,1498,6454,,522,,,4679,,,,1994,5069
2026-09-06 04:41,,,6768,,500,739,,,965,404,,388,1320,471,519,2867,,624,5323,4382,997,237,,3415,614,5629,,,5837,,,5417,,,5215,493,,5644,5721,,,528,6267,1498,6454,,522,,,4679,304,,739,1994,5069
2026-09-06 04:51,,,6768,,,779,,,920,384,,388,1320,471,499,2867,,624,5323,4041,997,,,3415,614,5574,,,5772,495,,5482,,,5215,493,,5644,5721,,,528,6267,1498,6454,,522,,,4679,304,,769,1994,5069
2026-09-06 05:01,,,6768,,545,779,,,920,384,,388,1320,471,499,2867,,624,5143,4041,997,,,3415,584,5574,,,5772,495,,5482,,,5215,493,,5644,5721,,,528,6267,1498,6454,,522,,,4679,304,,769,1994,5069
2026-09-06 05:11,,,6843,,500,759,,551,,364,,388,1320,471,519,2967,,589,4963,4382,997,252,,3555,554,5574,,,5837,480,,5547,,,5215,493,,5644,5721,,,528,,1458,6454,,522,,,4679,284,,739,1924,5069
2026-09-06 05:21,,,6843,,500,759,,,920,404,,388,1320,471,519,2967,2367,554,5683,4327,997,252,1343,3555,554,5574,,,5772,495,,5352,,,5215,493,,5644,5796,,,528,6267,1458,6574,,522,,,4679,,,739,1924,5069
2026-09-06 05:31,,,6768,,590,779,,,920,384,,373,1320,,519,2867,2367,624,5323,4327,997,237,1343,3415,554,5574,,,5772,495,,5222,,,5215,493,,5644,5796,,,528,6267,1458,6574,,522,,,4614,,,709,1994,5214
2026-09-06 05:41,,,6768,,500,779,,551,965,424,,388,1320,471,519,2867,2452,589,5143,4327,997,237,1408,3555,,5574,,,5772,,,5027,,,5215,493,,5644,5796,,,528,,1458,6574,,522,,,4614,,,709,1994,4924
2026-09-06 05:51,,,6768,,,779,,566,965,424,,388,1320,471,519,2967,,589,4963,4327,997,,1408,3555,554,5574,,,5772,495,,,,,5215,493,,5644,5721,,,528,6267,1458,6574,,522,,,4614,,,709,1994,4924
2026-09-06 06:01,,,6693,,,779,,566,965,,,,,471,519,2967,,624,4963,4272,997,,1408,3555,554,5464,,,5772,495,,5937,,,5215,493,,5549,5721,,,528,6167,1458,6454,,522,,,4614,,,709,1994,5214
2026-09-06 06:11,,,6768,,500,779,,566,965,,,388,1280,,519,2867,2367,589,5143,4327,997,237,1408,3415,584,5464,,,5772,495,,5092,,,5145,493,,5549,5646,,,528,6167,1458,6454,,522,,,4549,304,,739,1994,5214
2026-09-06 06:21,,,6693,,500,799,,566,,364,,388,1320,,519,2967,2367,589,5143,4217,997,237,1408,3555,584,5189,,,5707,,,4767,,,5145,493,,5454,5571,,,528,6167,1458,6334,,502,,,4484,,,739,1994,5069
2026-09-06 06:31,,,6693,,500,799,,566,,,,388,1320,,519,2967,2367,589,4963,4162,997,,1343,3415,554,5189,,,5707,,,4832,,,5145,493,,5454,5571,,,528,6067,,6334,,522,,,4549,304,,739,1994,5069
2026-09-06 06:41,,,6543,,500,759,,566,,,,,1320,471,519,2967,2367,589,,4052,997,252,,3555,584,5189,,,5642,495,,4962,,,4865,493,,5359,5496,,476,528,6067,1458,6214,,522,,,4484,304,,739,1924,5214
2026-09-06 06:51,,,6468,,545,779,,566,,384,,388,1320,471,519,2967,2452,624,4963,4107,997,252,,3555,614,5079,,,5642,495,,5287,,,4795,493,,5264,5496,,491,528,5967,,6094,,522,,,4419,304,,739,1994,5069
2026-09-06 07:01,,,6468,,545,779,,566,,384,,388,1320,471,519,2967,2452,624,4963,4107,997,252,,3555,614,5079,,,5642,495,,5287,,,4795,493,,5264,5496,,491,528,5967,,6094,,522,,,4419,304,,739,1994,5069
2026-09-06 07:11,,,6393,,500,779,,566,965,384,,388,1280,471,519,2967,2452,624,5143,,997,,,3555,554,4969,,,5577,495,,5807,,,4725,493,,5169,5346,,,528,5967,,6094,,522,,,4289,304,,739,1994,4924
2026-09-06 07:21,,,6168,,545,759,,566,965,384,,388,1320,471,519,2967,2452,659,5143,4052,997,252,,3555,584,4969,,,5382,495,,,,,4585,493,,5074,5271,,506,528,5967,,5974,,522,,,,304,,739,1994,4779
2026-09-06 07:31,,,6168,,545,779,,566,965,384,,388,1320,471,519,2967,2452,659,5143,4052,997,252,,3555,614,4969,,,5317,495,,,,,,508,,5074,5271,,506,528,,,5974,,522,,,,304,,739,1994,4779
2026-09-06 07:41,,,6168,,545,779,,566,,,,388,1280,,519,2967,2367,659,5143,,1022,252,1343,3415,614,4804,474,,5187,495,,4897,,,4515,508,,,5121,,506,528,5867,,,,522,,,,304,,739,1994,4779
2026-09-06 07:51,,,,,500,799,2520,581,1010,,,388,1320,511,519,2967,2452,659,4963,,997,252,1343,,584,,474,,5057,510,,5092,,,4445,508,,,,,506,528,5767,,,,522,,,,304,,769,1994,4779
2026-09-06 08:01,,,6018,,590,799,2520,581,1100,384,,388,1320,511,519,2967,2452,659,4963,,997,252,1343,3555,584,,474,,,510,,4832,,,4515,508,,,,,521,,5767,1418,,,522,,,,304,,739,1994,
2026-09-06 08:11,,,5868,,500,799,,581,1100,,,388,1320,511,519,2967,2452,659,4963,,997,252,1343,3415,584,,474,481,,510,,,,2548,4445,508,,,,,521,528,5767,,,,522,471,,,304,,739,1994,
2026-09-06 08:21,,,5868,,545,799,,581,1010,444,,388,1320,511,519,2967,2452,659,4963,,1345,267,1343,3415,554,,474,481,,510,,,,2548,,508,,,,,536,528,,,,,522,471,,,304,,739,1994,4924
2026-09-06 08:31,,,5868,,500,759,2555,581,1010,464,,388,1320,511,519,2967,2452,659,4963,,1022,267,1343,3555,614,,489,481,,510,,,,,4445,508,,,,,536,528,5667,,,,522,486,,,304,,709,1994,4924
2026-09-06 08:41,,,5868,,545,799,2555,581,,444,,388,1320,511,519,2967,,694,4963,,1022,267,1408,3555,614,,489,481,,510,,,,2583,4515,508,,,,,536,528,5667,1458,,,522,486,,,304,,709,1994,4924
2026-09-06 08:51,,,5793,,545,799,,581,1010,444,,388,1320,511,519,2967,2537,694,4963,,,267,1408,3555,614,,489,481,,510,,4897,,2583,4515,508,,,,,536,528,5667,1458,,,522,486,,,304,,709,1994,4924
2026-09-06 09:01,,,5793,,545,759,2590,596,1010,444,,388,1280,511,519,2967,,694,5143,,,282,1408,3555,614,,504,,,510,,,,,4515,508,2384,,,,551,528,5667,1458,,,522,486,,,304,,739,1994,4779
2026-09-06 09:11,,,,,545,779,2590,596,965,424,,388,1320,511,519,2967,2537,694,4963,,1022,282,1473,3555,614,,504,496,,510,,4897,,2618,4515,508,,,,,551,528,5667,1458,,,522,501,,,304,,739,1994,4924
2026-09-06 09:21,,,5793,,500,799,2590,596,965,444,,388,1320,511,519,2967,2537,694,5503,,1022,282,1408,,614,,504,496,,510,,,,2618,4515,508,2384,,,,551,528,5667,1498,,,522,501,,,304,,769,1994,4924
2026-09-06 09:31,,,,,,799,2625,596,1010,444,,388,1320,511,519,3067,,694,4963,,1022,282,1473,,614,,504,496,,510,,4897,,2618,4515,508,2384,,,,551,528,5667,1498,,,522,501,,,304,,769,1994,4924
