timestamp,.300BLK_4,.300BLK_5,.357 Magnum 9号霰射&#34;鼠弹&#34;,.357 Magnum JHP,.45 ACP FMJ,.45 ACP RIP,.45 ACP Super,.50 AE FMJ,.50 AE JHP,12 Gauge 8.5毫米鹿弹,12 Gauge DART,12 Gauge 箭形弹,12 Gauge 龙息弹,12 Gauge独头 AP-20,12 Gauge独头 FTX,12.7x55mm PD12双头弹,12.7x55mm PS12,12.7x55mm PS12A,12.7x55mm PS12B,4.6x30mm AP ST,4.6x30mm AP SX,4.6x30mm CT,4.6x30mm FMJ ST,4.6x30mm FMJ SX,4.6x30mm Subsonic SX,45-70 Govt FMJ,45-70 Govt FTX,45-70 Govt RN,5.45x39mm BS,5.45x39mm BT,5.45x39mm PS,5.56x45mm M855,5.56x45mm M995,5.7x28mm L191,5.7x28mm SS190,5.8x42mm DVC12,5.8x42mm DVP88,6.8x51mm FMJ,6.8x51mm Hybrid,7.62x39mm AP,7.62x39mm BP,7.62x39mm PS,7.62x51mm BPZ,7.62x51mm M62,7.62x51mm M80,7.62x54R BT,7.62x54R T46M,9x19mm AP6.3,9x19mm PBP,9x19mm RIP,9x39mm BP,9x39mm SP5,玻纤柳叶箭矢,碳纤维刺骨箭矢,碳纤维穿甲箭矢
2026-09-08 00:11,2247,,,679,,890,5782,,,343,,,1240,471,499,2867,2112,,4963,3931,4107,2373,,1120,,,3415,,5189,1991,,421,5382,,4962,4935,,,5169,5421,1786,401,,6067,1498,5974,,396,2026,668,4484,,,1924,5069
2026-09-08 00:21,,6168,,679,,,5847,,,,,343,1240,471,,2867,,,5143,,,,947,1145,222,1213,3415,464,5244,,354,,5447,,4962,4935,,2114,5169,5421,,401,,6067,1538,6094,402,,,,4549,264,,1924,5069
2026-09-08 00:31,,6168,,679,,,5847,,324,,400,,1240,471,519,2867,2197,,5143,3986,4162,,947,1145,222,1148,3415,464,5244,,354,,5447,,4962,4935,,,5169,5421,,401,468,6067,1538,6094,,,,,4549,264,709,1994,5069
2026-09-08 00:42,,6168,178,719,,,5847,,324,,400,358,,471,519,2867,2197,519,5143,3986,4162,,947,1145,222,1213,3415,494,5244,,354,,5447,,5027,4935,,,5169,5421,,401,488,6067,1538,6094,422,,,,4549,264,709,1994,5069
2026-09-08 00:51,,6168,178,639,,,5847,,324,,440,358,,471,499,2867,2197,519,5143,3986,4162,,947,1145,222,1213,3415,494,5244,,354,,5447,,4962,4935,,,5169,5421,,401,,6067,1538,,402,,,,4549,264,709,1994,5069
2026-09-08 01:01,,6168,183,639,,,5847,,324,,440,358,1240,471,499,2867,2197,519,5143,4041,4162,,947,1145,222,1213,3415,434,5244,,354,,5447,,4962,4935,,,,,,401,488,6067,1538,6094,402,,,,4549,264,,1994,5069
2026-09-08 01:11,,6168,183,719,,,5847,,324,,400,343,1240,471,519,2867,2112,,5143,4041,4162,,947,1120,222,1213,3415,434,5299,,354,,5512,,5027,4935,,,5264,5496,,416,488,6067,1538,6094,402,,,,4614,264,,1994,5214
2026-09-08 01:21,,6168,183,719,,,5847,875,,,400,343,1240,471,519,2867,2197,,5143,4041,4162,,947,,222,1213,3415,434,5299,,354,,5512,,5027,5005,,,5359,5571,,416,488,6067,1538,6094,422,,,,4614,264,679,1994,5214
2026-09-08 01:22,,6168,183,719,,,5847,875,,,400,343,1240,471,519,2867,2197,,5143,4041,4162,,947,1145,222,1213,3415,464,5299,,354,,5512,,5027,5005,,,5359,5571,,416,488,6067,1538,6094,422,,,,4614,264,709,1994,5069
2026-09-08 01:32,,6168,183,719,,,5847,875,344,,440,358,,471,519,,2112,,5143,4041,4162,,947,1145,222,1213,3415,434,5354,,354,,5512,,4962,5005,433,,5359,5571,,416,488,6067,1538,6094,402,,,,4614,264,739,1994,5214
2026-09-08 01:41,,6168,183,719,,,5912,875,344,,400,358,,471,,2867,2197,,,4041,4162,,947,1145,222,1213,3415,434,5354,,354,,5512,435,4962,5005,433,,,5571,,416,488,6067,1538,6094,422,,,,4614,264,739,1994,5214
2026-09-08 01:51,,6243,188,719,,,5912,,344,,400,358,,431,,2867,2112,,5323,,4162,,947,1145,222,1148,3555,434,5354,,354,,5512,,5027,5005,433,,5454,,,416,488,6067,1538,6094,402,,,,4614,264,739,1994,5214
2026-09-08 02:01,,6243,188,699,,,5912,,324,,400,358,,471,,2867,2112,,5143,4041,4162,,947,1120,237,1213,3555,494,5354,,354,,5512,,5027,5005,433,,5454,5571,,416,488,6067,1538,6094,402,,,,4614,264,679,1994,5214
2026-09-08 02:11,,6243,183,739,,,5912,,,,400,,,471,519,2867,2197,,4963,4041,4162,,947,1145,,1213,3415,434,5354,,354,,5512,435,,5005,433,,5454,5571,,401,488,6067,,6094,402,,,,4679,264,739,1924,5214
2026-09-08 02:21,,6243,,739,,,5912,,,,400,358,1240,471,519,2867,2112,519,,4041,4162,,947,1145,237,1148,3415,434,5354,,354,,5512,,5157,5005,433,,5454,5571,,416,488,6067,1538,6094,402,,,,4679,264,,1924,5214
2026-09-08 02:31,,6243,178,779,476,,5912,830,304,,440,,1240,431,519,2867,2112,,4963,4041,,,947,1145,237,1213,3415,404,5354,,354,,5512,,5157,5005,,,,,,416,488,6067,,6094,402,,,,4679,264,739,1994,5359
2026-09-08 02:41,,6243,188,779,,,5912,,,,400,,,431,,2867,,,,4096,4217,,972,1145,237,1213,3415,464,5409,,354,,5512,,5222,5005,433,,5454,5571,,416,488,6067,1538,6094,,,,,4679,264,739,1994,5214
2026-09-08 02:51,,6243,183,759,,,5912,830,,,440,358,,471,,2867,2197,519,5323,4096,4217,,972,1145,237,1278,,494,5409,,354,,5512,,5287,5005,433,,5454,5571,,416,468,6067,1538,,422,,,,4744,264,709,1924,5359
2026-09-08 03:02,,6243,188,759,491,,5912,,,,440,343,,471,,2867,2112,,4963,4261,4217,,972,1120,222,1213,3555,404,5409,,354,,5512,,5287,5005,433,,5549,5646,,416,488,6067,1538,6094,402,,,,4744,264,709,1994,5359
2026-09-08 03:11,,6243,188,759,491,,5912,,,,440,,1240,471,,,2197,519,,4261,4217,,972,1120,,1213,3555,404,5464,,354,,5512,,5287,5005,433,,5549,5646,,416,488,6067,1498,6094,402,,,,4744,264,709,1994,5359
2026-09-08 03:21,,6243,188,759,491,,5912,,,,400,373,,471,499,2867,2197,,5323,4316,4217,,947,,237,1213,3555,404,5519,,354,,5512,,5417,5005,433,,5549,5646,,416,488,6067,1498,6094,402,,,,4744,264,679,1994,5649
2026-09-08 03:31,,6318,188,759,491,,5912,,,,400,373,1240,471,499,2867,2197,519,5143,4316,4217,,947,1145,237,1213,3415,524,5519,,354,,5512,,5417,5005,433,,5549,5646,,416,488,6067,1498,6094,402,,,,4744,264,739,,5649
