timestamp,.300BLK_3,.300BLK_4,.300BLK_5,.357 Magnum 9号霰射&#34;鼠弹&#34;,.357 Magnum FMJ,.357 Magnum JHP,.45 ACP FMJ,.45 ACP RIP,.45 ACP Super,.50 AE FMJ,.50 AE JHP,12 Gauge 8.5毫米鹿弹,12 Gauge DART,12 Gauge 箭形弹,12 Gauge 龙息弹,12 Gauge独头 AP-20,12 Gauge独头 FTX,12.7x55mm PD12双头弹,12.7x55mm PS12,12.7x55mm PS12A,12.7x55mm PS12B,4.6x30mm AP ST,4.6x30mm AP SX,4.6x30mm FMJ ST,4.6x30mm FMJ SX,4.6x30mm Subsonic SX,45-70 Govt FMJ,45-70 Govt FTX,45-70 Govt RN,5.45x39mm BS,5.45x39mm PS,5.56x45mm M855,5.56x45mm M855A1,5.56x45mm M995,5.7x28mm L191,5.7x28mm R37.F,5.7x28mm SS190,5.7x28mm SS193,5.8x42mm DBP10,5.8x42mm DVC12,5.8x42mm DVP88,6.8x51mm FMJ,6.8x51mm Hybrid,7.62x39mm AP,7.62x39mm BP,7.62x39mm PS,7.62x51mm BPZ,7.62x51mm M62,7.62x51mm M80,7.62x54R BT,7.62x54R LPS,7.62x54R T46M,9x19mm AP6.3,9x19mm PBP,9x19mm RIP,9x39mm BP,9x39mm SP5,玻纤柳叶箭矢,碳纤维刺骨箭矢,碳纤维穿甲箭矢
2026-09-09 00:01,,,6318,188,,779,491,,5912,,364,,400,358,,431,,,2112,519,4963,4261,4272,972,1120,237,1213,3415,464,5574,354,,,5512,,,5482,,,5005,433,,5549,5646,,416,468,6067,1498,6094,,422,,,,4679,264,739,1924,5794
2026-09-09 00:11,,,6318,188,,779,491,,5912,,364,,400,358,,431,,,2112,519,4963,4261,4272,972,1120,237,1213,3415,464,5574,354,,,5512,,,5482,,,5005,433,,5549,5646,,416,468,6067,1498,6094,,422,,,,4679,264,739,1924,5794
2026-09-09 00:21,,,6318,188,,779,491,,5912,,364,,400,358,,431,,,2112,519,4963,4261,4272,972,1120,237,1213,3415,464,5574,354,,,5512,,,5482,,,5005,433,,5549,5646,,416,468,6067,1498,6094,,422,,,,4679,264,739,1924,5794
2026-09-09 00:31,,,6318,188,,779,491,,5912,,364,,400,358,,431,,,2112,519,4963,4261,4272,972,1120,237,1213,3415,464,5574,354,,,5512,,,5482,,,5005,433,,5549,5646,,416,468,6067,1498,6094,,422,,,,4679,264,739,1924,5794
2026-09-09 00:41,,,6318,188,,779,491,,5912,,364,,400,358,,431,,,2112,519,4963,4261,4272,972,1120,237,1213,3415,464,5574,354,,,5512,,,5482,,,5005,433,,5549,5646,,416,468,6067,1498,6094,,422,,,,4679,264,739,1924,5794
2026-09-09 00:51,,,6318,188,,779,491,,5912,,364,,400,358,,431,,,2112,519,4963,4261,4272,972,1120,237,1213,3415,464,5574,354,,,5512,,,5482,,,5005,433,,5549,5646,,416,468,6067,1498,6094,,422,,,,4679,264,739,1924,5794
2026-09-09 01:01,,,6318,188,,779,491,,5912,,364,,400,358,,431,,,2112,519,4963,4261,4272,972,1120,237,1213,3415,464,5574,354,,,5512,,,5482,,,5005,433,,5549,5646,,416,468,6067,1498,6094,,422,,,,4679,264,739,1924,5794
2026-09-09 01:11,,,6318,188,,779,491,,5912,,364,,400,358,,431,,,2112,519,4963,4261,4272,972,1120,237,1213,3415,464,5574,354,,,5512,,,5482,,,5005,433,,5549,5646,,416,468,6067,1498,6094,,422,,,,4679,264,739,1924,5794
2026-09-09 01:21,,,,183,545,779,491,,5912,,364,,400,358,1240,431,,2867,2112,519,,4261,,972,,237,,3415,464,,369,,,5512,,,5482,,,5005,,,5549,5721,,416,488,6067,1498,6094,,422,,,,,284,739,,5794
2026-09-09 01:31,,1967,6018,183,,,,,6497,1145,364,,,358,,471,,,,,5863,,,,1095,237,,3415,704,,369,391,1731,,,,5352,,2058,5145,418,,5549,5721,1681,416,488,6067,1498,6094,,422,351,,558,5069,284,,1994,5504
2026-09-09 01:41,,,6018,,,639,,,6497,,444,,400,,,,479,,2112,554,,4041,4272,922,,237,1148,3415,764,,,391,1761,5512,420,407,,,2058,5215,418,2204,5549,5721,1681,416,488,6067,1498,6094,1930,422,351,1816,558,,284,709,1994,5794
2026-09-09 01:51,467,1967,6018,,,659,,,6497,,444,,400,,,,519,,2112,,,4041,4272,897,,237,1148,,704,,,391,1761,5512,,,,,,5215,418,2159,5549,5721,,416,488,6067,1498,6094,2010,422,351,1846,,,284,709,,5794
2026-09-09 02:01,467,1967,6018,,,639,,,6497,,444,,400,,,,499,,2112,554,,4096,4272,897,,237,1148,,704,5464,,391,,5512,,397,5417,,2093,5215,418,2159,5549,5721,1716,416,488,6067,1498,6094,,422,351,1846,,,284,679,,5939
