timestamp,.300BLK_3,.300BLK_4,.300BLK_5,.357 Magnum FMJ,.357 Magnum JHP,.45 ACP AP,.45 ACP FMJ,.45 ACP RIP,.45 ACP Super,.50 AE FMJ,.50 AE JHP,12 Gauge DART,12 Gauge 箭形弹,12 Gauge 龙息弹,12 Gauge独头 AP-20,12 Gauge独头 FTX,12.7x55mm PD12双头弹,12.7x55mm PS12,12.7x55mm PS12A,12.7x55mm PS12B,4.6x30mm AP ST,4.6x30mm AP SX,4.6x30mm CT,4.6x30mm FMJ ST,4.6x30mm FMJ SX,4.6x30mm Subsonic SX,45-70 Govt FMJ,45-70 Govt FTX,45-70 Govt RN,5.45x39mm BS,5.45x39mm BT,5.45x39mm PS,5.56x45mm M855,5.56x45mm M855A1,5.56x45mm M995,5.7x28mm L191,5.7x28mm SS190,5.7x28mm SS193,5.8x42mm DBP10,5.8x42mm DVC12,5.8x42mm DVP88,6.8x51mm FMJ,6.8x51mm Hybrid,7.62x39mm AP,7.62x39mm BP,7.62x39mm PS,7.62x51mm BPZ,7.62x51mm M62,7.62x51mm M80,7.62x54R BT,7.62x54R LPS,7.62x54R T46M,9x19mm AP6.3,9x19mm PBP,9x39mm BP,9x39mm SP5,9x39mm SP6,玻纤柳叶箭矢,碳纤维刺骨箭矢,碳纤维穿甲箭矢
2026-09-12 00:01,,2352,5868,,499,2520,,800,5652,,,400,,,,519,,,,5503,3876,,2413,797,,,1083,,584,5299,1966,,,2061,5642,495,5482,2403,2618,5495,493,2519,5359,5571,1961,,,6067,1498,5974,2530,,,1876,4874,,2441,,1994,6374
2026-09-12 00:11,,2352,5868,500,499,,,,5652,1010,524,,388,,471,519,2967,2367,554,5503,3931,,,797,1020,192,,,,5299,,,,,5642,,5482,2403,2618,5565,,2519,5359,5646,,,508,6067,1498,,2530,482,381,,4874,264,2441,619,1994,
2026-09-12 00:21,,,5868,500,499,,,,5652,1010,524,440,388,,471,519,2967,2367,554,5503,3931,4107,,797,1020,192,,3275,,5299,,,,,,,5482,,,5565,,,5359,5646,,401,508,6067,,,,482,381,,4874,264,,619,1994,
2026-09-12 00:31,,,5868,545,,,,,,1010,,400,388,,471,519,2967,2367,554,5503,3931,4107,,797,1020,192,,3275,584,5299,,,,,5642,,5482,,,5635,,,5359,5646,,401,,6067,,,,482,381,,4874,264,,679,1994,
2026-09-12 00:41,,,5943,545,,,,,5652,1010,584,400,388,,471,519,2967,2367,,5503,3931,4107,,797,1020,,,3135,614,5299,,,,,5642,,5482,,,5705,,,5454,5646,,401,528,6067,,5974,,482,381,,4939,264,,679,1994,
2026-09-12 00:51,,,5943,545,,,,,5652,,584,400,388,,471,519,2967,2367,,5503,3931,4107,,797,1020,,,,614,5299,,,,,5642,,5547,,,5705,,,5454,5646,,401,528,6067,,5974,,,381,,4939,264,,679,1994,6374
2026-09-12 01:01,,,5943,545,,,,,5652,1010,564,400,388,,471,519,2967,,554,5503,3931,4107,,797,1020,192,,3135,584,5299,,,,,5642,,5547,,,5845,,,5454,5646,,401,528,6067,,5974,,502,381,,4939,264,,649,1994,6374
2026-09-12 01:11,,,5943,545,,,461,,5652,,564,400,388,1560,471,,2967,2367,,5683,3931,4107,,797,1020,,,3135,584,5299,,,,,5642,,5482,,,5845,,,5454,5646,,401,528,6067,,5974,,502,381,,4939,264,,,1994,6374
2026-09-12 01:21,,,5943,590,,,476,,5652,,564,400,388,1560,471,519,2967,2367,,5683,3986,4107,,797,1020,,,3275,614,5299,,,,,5642,,5547,,,5845,,,5454,5646,,401,528,6067,,5974,,502,381,,4939,264,,649,1994,6374
2026-09-12 01:31,,,5943,500,,,476,,5652,,564,,388,1560,471,519,2967,2367,,5683,3986,4107,,797,1020,192,,3135,584,5299,,,,,5707,,5482,,,5845,,,,,,401,528,6067,,5854,,502,381,,4939,264,,649,1994,6374
2026-09-12 01:41,,,5943,,,,476,,5652,,644,440,388,1560,471,519,2967,,,5323,4041,4107,,797,1020,192,,3275,584,5299,,,,,5707,,5482,,,5845,,,5454,5646,,401,528,6067,,5974,,522,381,,4939,264,,679,1994,6374
2026-09-12 01:51,,,5943,590,,,491,,5652,,624,440,388,1560,471,519,2967,,,5503,4041,4107,,797,995,,,3275,584,5299,,,,,5707,,5482,,,5915,,,5454,5646,,401,528,6067,,5974,,502,381,,4939,264,,679,1994,6519
2026-09-12 02:02,512,,5943,545,,,491,,5652,,624,400,388,,,519,2967,2367,,5323,4096,4162,,797,1020,,,3275,614,5354,,,,,5707,,5482,,,5915,,,5454,5646,,401,528,6067,,5974,,522,381,,4939,264,,679,1994,6374
2026-09-12 02:11,,,5943,545,,,491,,5717,,624,400,388,,471,519,2967,2367,554,5503,4096,4162,,797,1020,,,3135,614,5354,,,,,5707,,5482,,,5915,,,,5646,,401,528,6067,,5974,,522,381,,4939,264,,679,1994,6374
2026-09-12 02:12,,,5943,590,,,491,,5717,,604,400,388,,471,519,2967,2367,554,5503,4151,4162,,797,1020,,,3135,614,5354,,,,,5707,,5482,,,5915,,,5454,5646,,401,528,6067,,5974,,522,381,,4939,264,,649,1994,6374
2026-09-12 02:21,,,5943,500,,,491,,5717,,604,440,388,,471,519,2967,,554,,4151,4162,,797,1020,192,,3275,614,5354,,339,,,5707,,5612,,,5915,,,5454,5646,,401,528,6067,,5974,,522,381,,4939,264,,619,1994,6374
