timestamp,.300BLK_3,.300BLK_4,.300BLK_5,.357 Magnum FMJ,.357 Magnum JHP,.45 ACP AP,.45 ACP FMJ,.45 ACP RIP,.45 ACP Super,.50 AE FMJ,.50 AE JHP,12 Gauge 8.5毫米鹿弹,12 Gauge DART,12 Gauge 箭形弹,12 Gauge 龙息弹,12 Gauge独头 AP-20,12 Gauge独头 FTX,12.7x55mm PD12双头弹,12.7x55mm PS12,12.7x55mm PS12A,12.7x55mm PS12B,4.6x30mm AP ST,4.6x30mm AP SX,4.6x30mm FMJ ST,4.6x30mm FMJ SX,4.6x30mm Subsonic SX,45-70 Govt FMJ,45-70 Govt FTX,45-70 Govt RN,5.45x39mm BS,5.45x39mm BT,5.45x39mm PS,5.56x45mm M855,5.56x45mm M855A1,5.56x45mm M995,5.7x28mm L191,5.7x28mm R37.F,5.7x28mm SS190,5.8x42mm DBP10,5.8x42mm DVC12,5.8x42mm DVP88,6.8x51mm FMJ,6.8x51mm Hybrid,7.62x39mm AP,7.62x39mm BP,7.62x39mm PS,7.62x51mm BPZ,7.62x51mm M62,7.62x51mm M80,7.62x54R BT,7.62x54R T46M,9x19mm AP6.3,9x19mm PBP,9x19mm RIP,9x39mm BP,9x39mm SP5,9x39mm SP6,玻纤柳叶箭矢,碳纤维刺骨箭矢,碳纤维穿甲箭矢
2026-09-15 00:01,,,5718,545,,,,875,5522,,,,440,388,1640,,,2767,2197,,5143,4041,4162,772,970,,1018,,,5024,1841,,,1971,5187,405,,4962,,5565,,,,5496,1786,356,,6067,1378,5494,,,1846,688,4614,,,,1994,6664
2026-09-15 00:11,,,,,,,,,5522,,,,440,388,,,459,2867,2197,,5143,4041,4162,,,177,1018,,,5079,,,391,,,405,,4962,2268,5635,,2159,5074,5571,1786,371,448,6067,1418,5494,422,366,,,4614,,,,1994,
2026-09-15 00:12,452,,5793,,,,431,,5522,875,,,440,,,471,459,2867,2197,,5143,4041,4217,772,1020,177,1018,3275,494,5079,,294,391,,,405,,4962,2268,5635,418,2159,5074,5571,,371,448,6067,1418,5494,422,366,,,4614,244,,559,1994,6809
2026-09-15 00:21,452,,5793,,339,,431,,5522,,624,,440,,,431,459,2867,2197,,5143,4041,4217,772,1020,177,1018,3275,524,5079,,294,406,,,405,,5027,,5635,418,,5074,5571,,371,448,6067,1418,5494,422,366,,,4679,244,2001,589,1994,6809
2026-09-15 00:31,452,,5793,,339,,431,,5522,,,,440,,,471,459,2867,2197,,5143,4041,4217,772,1020,177,1018,3275,524,5079,,294,406,,,405,,5027,,5635,418,,5074,5571,,371,448,6067,1418,5494,422,366,,,4679,244,2001,589,1994,6809
2026-09-15 00:41,452,,5793,,339,,431,,5522,,,,440,388,,471,459,2867,2197,,5143,4041,4217,772,995,192,1018,3135,524,5134,,294,406,,5187,,,5027,,5705,418,2159,5074,5571,,371,468,6067,1418,5494,422,366,,,4679,244,,559,1994,6954
2026-09-15 00:51,452,,5793,,339,,431,,5522,875,624,,440,,,471,519,2867,2197,,,4041,4217,772,1020,192,1018,3135,524,5134,,294,406,,5187,420,,5027,,5705,433,2159,5169,5571,,371,468,6067,1418,5494,,366,,,4744,244,2001,589,1994,6954
2026-09-15 01:01,452,,5793,,359,,446,,5522,875,584,,440,,,471,479,2867,2197,,5143,4041,4217,772,1020,192,1018,3275,524,5134,,294,406,,5187,420,,5027,,5705,433,2159,5169,5571,,371,448,6067,1418,,442,366,,,4744,244,,619,1994,6954
2026-09-15 01:11,452,,5793,,339,,446,,5522,875,564,,440,,,471,,2867,2197,,,4041,4217,772,995,192,1018,3275,524,5134,,279,406,,5187,420,,5092,,5705,433,,5169,5646,,371,448,6067,1418,5494,442,366,,,4744,244,2001,619,1994,6954
2026-09-15 01:21,452,,5868,,339,,446,,5522,875,564,363,440,,,471,,2867,,,5323,4041,4217,772,1020,192,,3275,524,5134,,,406,,5187,420,,5092,,5775,433,2159,5169,5646,,386,468,6067,1418,5494,442,366,,,4809,244,2001,619,1994,6954
2026-09-15 01:31,452,,5868,,359,,446,,5522,875,584,363,440,,,471,,2867,,,5323,4041,4217,772,1020,192,,3275,524,5134,,294,406,,5187,420,,5092,,5775,418,2159,5169,5646,,386,468,6067,1418,5494,442,366,,,4809,244,2001,619,1994,6954
2026-09-15 01:41,452,,5868,,319,,446,,5522,875,564,,440,,,471,479,2867,,,,4041,4217,772,1020,192,1018,3135,524,5134,,294,391,,5187,405,,5092,,5775,418,2159,5169,5721,,386,448,6067,1418,5494,,366,,,4809,244,2001,649,1994,6954
2026-09-15 01:51,452,,5868,,319,,446,,5522,,564,,440,,,471,479,2867,2197,589,5323,4096,4217,797,995,192,,3275,554,5134,,294,406,,5187,420,,5157,,5775,418,2159,5264,5721,,386,448,6067,1418,5494,442,366,,,4809,244,2001,649,1994,6954
2026-09-15 02:01,452,,5868,,319,,446,,5522,,544,,440,,,471,479,2867,2197,624,5143,,4217,797,995,192,,3135,,5134,,294,406,,5187,420,,5157,,5775,433,,5264,5721,,386,448,6067,1418,5494,442,366,,,4809,244,2001,649,1994,6954
