timestamp,.300BLK_3,.300BLK_4,.300BLK_5,.357 Magnum FMJ,.357 Magnum JHP,.45 ACP AP,.45 ACP FMJ,.45 ACP Super,.50 AE FMJ,.50 AE JHP,12 Gauge DART,12 Gauge 箭形弹,12 Gauge 龙息弹,12 Gauge独头 AP-20,12 Gauge独头 FTX,12.7x55mm PD12双头弹,12.7x55mm PS12,12.7x55mm PS12A,12.7x55mm PS12B,4.6x30mm AP ST,4.6x30mm AP SX,4.6x30mm CT,4.6x30mm FMJ ST,4.6x30mm FMJ SX,4.6x30mm Subsonic SX,45-70 Govt FMJ,45-70 Govt FTX,45-70 Govt RN,5.45x39mm BS,5.45x39mm PS,5.56x45mm M855,5.56x45mm M995,5.7x28mm L191,5.7x28mm R37.F,5.7x28mm SS190,5.7x28mm SS193,5.8x42mm DBP10,5.8x42mm DVC12,5.8x42mm DVP88,6.8x51mm FMJ,6.8x51mm Hybrid,7.62x39mm AP,7.62x39mm BP,7.62x39mm PS,7.62x51mm BPZ,7.62x51mm M62,7.62x51mm M80,7.62x54R BT,7.62x54R LPS,7.62x54R T46M,9x19mm AP6.3,9x19mm RIP,9x39mm BP,9x39mm SP5,9x39mm SP6,玻纤柳叶箭矢,碳纤维刺骨箭矢,碳纤维穿甲箭矢
2026-09-17 00:01,437,2212,,500,359,2310,,,,,,388,,,479,2667,,519,4963,3986,4107,2413,,,177,953,,524,,294,391,,390,,,2163,2303,,403,2069,4979,,1786,386,448,5967,1378,5614,2170,402,351,698,,264,,589,1994,7099
2026-09-17 00:11,437,2212,,545,439,2310,,,,,,388,,431,,2667,,,4963,3986,4107,2413,,,177,953,,524,,294,391,,390,,4832,2163,2303,,403,2069,4979,,1786,386,448,5967,1378,5614,2170,402,351,698,,264,,619,1994,6954
2026-09-17 00:21,452,2247,5568,,,,446,5457,,,440,388,,431,479,2767,2112,,5143,4041,4107,,772,970,177,1018,3275,,4914,309,406,4927,390,517,4897,,,5565,418,,4979,5421,,386,448,5967,1418,5614,,422,366,,4614,264,1881,,1994,7099
2026-09-17 00:31,452,2212,5568,,,,446,5457,,,440,,,431,,2767,2112,,5143,4041,4107,,772,970,177,1018,3135,524,4914,309,406,4927,,,4897,,,5565,418,2069,4979,,,386,448,5967,1418,5614,,422,366,,4614,264,1881,,1994,7099
2026-09-17 00:41,452,,5643,,,,461,5522,830,544,440,,,471,,2767,,519,4963,4041,4107,,772,970,,1018,3135,,4914,309,421,4927,390,,4897,,,5635,418,2069,4979,5496,,401,448,5967,1418,5614,,422,366,,4614,264,1881,619,1994,7099
2026-09-17 00:51,452,,5643,,,,461,5522,,544,440,,1520,471,,2767,2027,,4963,4041,4107,,772,970,177,1018,3275,524,4914,309,421,4927,405,,4897,,,5635,433,2069,5074,5571,,401,448,5967,1418,5614,,422,,,4614,264,1841,649,1994,7099
2026-09-17 01:01,452,,5643,,,,461,5522,,564,400,,1520,471,,2767,2197,,5143,4041,4107,,772,970,177,1018,3275,554,4914,309,421,4927,405,,4962,,,5705,418,2069,5074,5571,,401,448,5967,1418,5614,,422,381,,4679,264,1841,619,1994,7099
2026-09-17 01:11,,,5643,,,,461,5522,830,564,,,1520,471,,2767,2197,,,4041,4107,,772,995,177,953,3275,554,4914,309,421,4992,405,517,4962,,,5705,433,2069,5074,5571,,401,468,5967,1418,5614,,422,381,,4679,264,1841,,1994,7099
2026-09-17 01:21,467,,5643,,379,,461,5522,,584,400,,1520,471,,2667,2112,,5143,4041,4107,,772,970,177,1018,3135,,4914,309,421,4992,390,517,4962,,,5705,433,2069,5074,5571,,401,468,5967,1418,5614,,,381,,4744,264,1881,619,1994,7099
2026-09-17 01:31,467,,5643,,379,,461,5522,,584,400,,1520,471,,2667,2112,,5143,4041,4107,,772,970,177,1018,3135,,4914,309,421,4992,390,517,4962,,,5705,433,2069,5074,5571,,401,468,5967,1418,5614,,442,381,,4744,264,1881,619,1994,7099
2026-09-17 01:41,467,,5718,,,,461,5522,,584,,388,1520,431,,2767,2027,,4963,4041,4162,,772,970,177,1018,3275,524,4914,309,421,4992,420,,5027,,,5705,418,2069,5074,5646,,401,448,5967,1418,5614,,422,381,,4809,264,1881,649,,7099
2026-09-17 01:51,467,,5718,,,,461,5522,830,544,400,,,471,,2767,2027,,,4041,4162,,772,,177,953,3275,,4914,,421,4992,405,,4962,,,5705,,2069,5074,5646,,401,448,5967,1418,5614,,422,381,,4809,264,1881,619,1994,7099
2026-09-17 02:01,467,,5718,545,,,461,5522,,,440,,,471,,2767,2027,,5143,4041,4162,,772,970,177,953,,,4914,309,421,4992,405,,4962,,,5705,418,2069,5074,5646,,401,448,5967,1418,5614,,442,381,,4874,264,1881,619,1994,7099
2026-09-17 02:11,467,,5718,,419,,461,5522,,,440,,1520,471,499,2667,2112,,4963,4041,4162,,772,970,177,953,3135,,4914,324,421,4992,390,,4962,,,5705,433,2069,5074,5721,,401,448,5967,,5614,,442,381,,4874,,1881,649,1994,7099
