timestamp,.300BLK_3,.300BLK_4,.300BLK_5,.357 Magnum FMJ,.357 Magnum JHP,.45 ACP FMJ,.45 ACP Super,.50 AE FMJ,.50 AE JHP,12 Gauge 8.5毫米鹿弹,12 Gauge DART,12 Gauge 箭形弹,12 Gauge 龙息弹,12 Gauge独头 AP-20,12 Gauge独头 FTX,12.7x55mm PD12双头弹,12.7x55mm PS12,12.7x55mm PS12A,12.7x55mm PS12B,4.6x30mm AP ST,4.6x30mm AP SX,4.6x30mm FMJ ST,4.6x30mm FMJ SX,4.6x30mm Subsonic SX,45-70 Govt FMJ,45-70 Govt FTX,45-70 Govt RN,5.45x39mm BS,5.45x39mm BT,5.45x39mm PS,5.56x45mm M855,5.56x45mm M855A1,5.56x45mm M995,5.7x28mm L191,5.7x28mm R37.F,5.7x28mm SS190,5.7x28mm SS193,5.8x42mm DBP10,5.8x42mm DVC12,5.8x42mm DVP88,6.8x51mm FMJ,6.8x51mm Hybrid,7.62x39mm AP,7.62x39mm BP,7.62x39mm PS,7.62x51mm BPZ,7.62x51mm M62,7.62x51mm M80,7.62x54R BT,7.62x54R LPS,7.62x54R T46M,9x19mm AP6.3,9x19mm RIP,9x39mm BP,9x39mm SP5,9x39mm SP6,玻纤柳叶箭矢,碳纤维刺骨箭矢,碳纤维穿甲箭矢
2026-09-18 00:01,467,,,545,,461,5392,830,544,373,440,,1520,471,,,2112,,,3986,,,,,953,,554,4639,1741,369,406,1881,,390,527,4702,2163,2303,5565,418,,4979,5421,1821,386,448,,1418,5614,2210,422,381,708,,,1881,649,1994,7244
2026-09-18 00:11,,,5493,,359,,5457,,,,,388,,471,519,2667,,484,4963,4041,4052,747,945,177,953,,,4804,,,406,,4862,390,,4897,,,5565,418,2024,4979,5421,,401,448,5967,1418,5614,,422,381,,4549,264,,649,1994,7244
2026-09-18 00:21,,,5568,,359,,5457,,,,,388,,471,519,2667,,,5143,4041,4052,747,970,177,953,,,4859,,,406,,4927,390,,4962,,,5565,418,2024,4979,5421,,401,448,5967,1418,5614,,,381,,4549,264,,649,1994,7389
2026-09-18 00:31,,,5568,,,,5457,,584,,,388,,471,519,2667,,,5143,4041,4052,747,970,177,953,3275,,4859,,,406,,4927,390,,4962,,,5565,418,2024,4979,5421,,401,448,5967,1418,5614,,,381,,4549,264,,649,1994,7389
2026-09-18 00:41,467,,5568,,339,,5457,,584,,,,,471,519,2667,2112,,4963,4041,4107,747,945,177,953,3275,,4859,,,406,,4927,390,,4962,,,5565,418,2024,5074,5421,,386,448,5967,1458,5614,,422,381,,4614,264,,649,1994,7389
2026-09-18 00:51,,2177,5568,,339,,5457,,,,,,,471,499,2667,,,4963,4041,4107,747,970,177,953,3135,,4859,,,421,,4927,405,,4962,,,5635,418,2024,5074,5421,,401,448,5967,1458,5614,,422,381,,4614,264,,649,1994,7389
2026-09-18 01:01,,2177,5568,,339,,5457,,,,,,,471,499,2667,,,4963,4041,4107,747,970,177,953,3135,,4859,,,421,,4927,405,,4962,,,5635,418,2024,5074,5421,,401,448,5967,1458,5614,,422,381,,4614,264,,649,1994,7389
2026-09-18 01:11,467,,5568,,339,,5457,,,,440,388,,471,,2767,2112,484,5143,4096,4162,747,970,,953,3135,,4859,,,406,,4927,405,,4962,,,5635,418,2024,5074,5571,,401,448,5967,1458,5614,,,381,,4679,244,,,1994,7389
2026-09-18 01:21,,,5568,,,,5457,830,,,440,,,471,519,2767,,484,4963,4151,4162,772,970,162,953,3135,,4859,,,421,,4927,405,,4962,,,5635,433,2069,5074,5571,,401,448,5967,1458,5614,,422,381,,4679,,,,1994,7389
2026-09-18 01:31,,,5568,,,,5457,830,,,440,,,471,499,2767,,484,4963,4151,4162,772,970,162,953,3135,,4859,,,421,,4927,405,,4962,,,5635,433,2069,5074,5571,,401,448,5967,1458,5614,,422,381,,4744,264,,739,1994,7389
