timestamp,.300BLK_3,.300BLK_5,.357 Magnum 9号霰射&#34;鼠弹&#34;,.357 Magnum FMJ,.357 Magnum JHP,.45 ACP AP,.45 ACP FMJ,.45 ACP Super,.50 AE FMJ,.50 AE JHP,12 Gauge 8.5毫米鹿弹,12 Gauge DART,12 Gauge 箭形弹,12 Gauge 龙息弹,12 Gauge独头 AP-20,12 Gauge独头 FTX,12.7x55mm PD12双头弹,12.7x55mm PS12,12.7x55mm PS12A,12.7x55mm PS12B,4.6x30mm AP ST,4.6x30mm AP SX,4.6x30mm CT,4.6x30mm FMJ ST,4.6x30mm FMJ SX,4.6x30mm Subsonic SX,45-70 Govt FMJ,45-70 Govt FTX,45-70 Govt RN,5.45x39mm BS,5.45x39mm BT,5.45x39mm PS,5.56x45mm M855,5.56x45mm M995,5.7x28mm L191,5.7x28mm R37.F,5.7x28mm SS190,5.8x42mm DBP10,5.8x42mm DVC12,5.8x42mm DVP88,6.8x51mm FMJ,6.8x51mm Hybrid,7.62x39mm AP,7.62x39mm BP,7.62x39mm PS,7.62x51mm BPZ,7.62x51mm M62,7.62x51mm M80,7.62x54R BT,7.62x54R T46M,9x19mm AP6.3,9x19mm RIP,9x39mm BP,9x39mm SP5,9x39mm SP6,玻纤柳叶箭矢,碳纤维刺骨箭矢,碳纤维穿甲箭矢
2026-09-20 00:01,,5268,273,500,,,,5392,785,524,,440,388,,431,519,2767,2112,,5143,4426,4327,2453,772,995,,,3135,,,1816,,,,,527,4832,2338,5635,,,5074,5421,,,,5967,,5854,,381,668,4614,244,,769,1994,7679
2026-09-20 00:11,422,5268,,545,,,431,5392,,564,,,,1520,,,2767,2112,484,5143,4426,4437,,,1020,,953,,644,4859,,279,391,4862,405,,4832,,5635,403,2069,5074,5421,,356,448,5967,1298,5854,,,,4614,244,,769,1994,7824
2026-09-20 00:21,,5268,,545,,,431,5392,,564,,,,1520,,,2767,2112,484,,4426,4437,,822,1020,162,953,3135,614,4859,,279,406,4862,405,527,4897,,5635,418,2069,5074,5421,1576,356,448,5967,1298,5854,,,,4614,244,,769,1994,7824
2026-09-20 00:31,452,5268,,545,,,,5392,830,,,440,,,471,,,2112,519,,4426,4437,,822,1020,147,1018,3135,,4859,,294,406,4927,390,,4897,,5635,,,5074,5421,,356,448,5967,1298,5854,442,,,4614,244,,769,1994,7824
2026-09-20 00:41,452,5268,,545,,,431,5392,830,,,,,1520,471,,2767,2112,519,,4426,4437,,822,1020,147,1018,,614,4859,,294,406,4927,,527,4832,,5635,,2114,5074,5421,1576,356,448,5967,1338,5854,442,,,4614,244,,,1994,7824
2026-09-20 00:51,452,5268,,,,,431,5392,830,,,440,,1520,,,,2112,449,,4481,4437,,822,1020,162,953,3135,,4859,,294,406,4927,405,,,,5635,433,2114,5074,5421,1576,371,,5967,1338,5854,442,381,,4614,244,,769,1994,7824
2026-09-20 01:01,452,5268,,545,,,431,5392,,564,,440,,1520,471,,,2112,519,,4481,4437,,822,1020,162,953,3135,734,4859,,294,406,4927,405,,5027,,5635,433,2114,5074,5421,1576,371,468,5967,1338,5854,442,381,,4614,244,,769,1994,7824
2026-09-20 01:11,467,5343,,545,,,431,5457,830,,,,,1520,471,,,2112,519,,4481,4437,,822,1020,147,953,3275,674,4859,,294,421,4927,390,,4962,,5635,433,,5074,5421,1576,386,468,5967,1338,5854,442,381,,4679,244,,799,1994,7969
2026-09-20 01:21,467,5343,,545,,,431,5457,830,604,,,,1520,471,,,2112,589,,4481,4437,,822,1020,162,953,3275,764,4859,,294,421,4927,390,,4962,,5635,433,,5074,5421,1576,386,468,5967,1338,5854,442,381,,4679,244,,799,1994,7969
2026-09-20 01:31,467,5343,,545,,,431,5457,830,604,,,,1520,471,,,2112,589,,4481,4437,,822,995,162,1018,3135,764,4914,,294,421,4927,,,5092,,5635,433,2069,5074,5421,1611,386,468,5967,1338,5854,462,381,,4744,244,,,1994,7969
